yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-18 12:23:09,386,531,523,130,754,385,449,226,311,32.92,82548.91,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:10,386,530,522,130,754,384,449,226,310,32.95,82548.60,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:10,386,531,522,129,754,384,448,226,311,32.97,82550.17,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:11,386,531,522,129,754,384,449,226,311,32.97,82547.93,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:11,386,531,522,130,754,384,448,226,310,32.98,82551.39,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:12,386,531,522,129,754,384,448,226,311,32.98,82549.83,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:12,386,531,522,130,754,384,448,226,310,32.98,82548.82,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:13,386,530,522,130,754,384,449,226,310,32.98,82548.98,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:13,386,531,522,130,754,384,449,226,311,32.98,82551.42,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:14,386,530,522,130,754,383,448,226,310,32.99,82550.72,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:14,387,530,522,130,754,383,449,226,310,32.98,82548.30,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:15,386,531,522,130,754,384,449,227,310,32.99,82551.10,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:15,386,530,522,130,754,384,449,226,311,32.99,82550.21,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:16,386,530,522,129,754,384,449,226,311,32.99,82547.78,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:16,386,531,522,130,754,384,449,226,311,32.99,82548.83,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:17,386,531,522,129,754,383,449,226,310,32.99,82549.35,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:17,386,531,522,130,754,383,449,226,310,32.99,82549.17,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:18,386,531,522,130,754,383,449,226,310,32.99,82548.82,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:18,387,531,522,130,754,383,449,226,310,32.99,82549.33,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:19,387,530,522,130,754,383,449,226,310,32.99,82547.44,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:19,387,531,522,130,754,383,449,226,310,32.99,82548.48,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:20,386,530,522,130,754,383,449,226,310,32.99,82548.30,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:20,386,531,522,130,754,382,448,226,310,32.99,82549.86,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:21,387,531,522,130,754,383,448,226,310,32.99,82547.10,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:21,386,531,522,130,754,382,449,226,310,32.99,82547.10,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:22,387,531,522,130,753,382,449,226,310,33.00,82549.19,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:22,386,531,522,130,754,383,449,226,310,32.99,82550.39,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:23,386,531,522,130,754,382,448,226,310,33.00,82550.24,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:23,386,531,522,130,754,382,449,226,310,33.00,82551.10,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:24,386,531,522,130,754,382,448,226,310,33.00,82549.53,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:24,387,531,522,130,753,382,448,226,310,33.00,82550.57,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:25,387,531,522,130,754,382,448,226,310,33.00,82552.85,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:25,387,531,523,130,754,382,448,226,310,33.00,82549.36,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:26,387,531,523,130,754,382,448,226,310,33.00,82548.32,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:26,387,531,522,130,754,382,448,226,309,33.00,82548.84,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:27,387,531,523,129,754,382,448,226,310,33.00,82548.67,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:27,386,531,523,130,754,382,448,225,310,33.00,82548.33,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:28,387,531,523,130,754,382,448,226,310,33.00,82547.11,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:28,387,531,523,130,754,382,448,226,310,33.01,82548.85,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:29,387,531,522,130,754,382,448,225,310,33.00,82547.98,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:29,387,531,523,130,753,382,448,226,310,33.00,82549.01,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:30,387,531,522,130,754,381,448,225,310,32.99,82546.59,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:30,387,531,523,130,754,382,449,226,310,33.00,82548.66,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:31,387,531,523,130,754,382,449,226,310,33.00,82547.11,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:31,387,531,523,130,754,382,449,226,310,33.00,82549.71,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:32,387,531,522,130,754,382,449,226,310,32.99,82548.49,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:32,387,531,523,130,754,382,450,226,310,33.00,82546.94,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:33,387,531,523,130,754,382,450,226,310,33.00,82545.89,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:33,387,531,523,130,754,382,450,227,311,33.00,82547.79,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:34,387,531,523,130,754,382,450,226,311,33.00,82547.46,35.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:34,387,531,523,130,754,382,449,226,311,33.00,82550.57,35.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:35,387,531,523,130,754,382,449,226,310,33.00,82548.84,35.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:35,387,531,523,130,754,381,449,226,310,33.00,82549.71,35.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:36,387,531,523,130,754,382,449,226,310,33.00,82547.28,35.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:36,387,531,523,130,753,381,449,226,310,33.01,82551.81,35.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:37,387,531,523,130,754,381,448,225,310,33.00,82549.71,35.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:37,387,531,523,130,754,381,448,225,309,33.00,82547.80,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:38,387,531,523,130,754,380,448,226,309,33.00,82546.93,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:38,387,531,523,130,754,381,449,226,310,33.01,82549.55,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:39,387,531,523,130,754,381,449,226,310,33.00,82548.50,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:39,387,531,523,130,754,381,449,226,310,33.01,82549.89,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
2024-09-18 12:23:40,387,531,523,130,754,382,450,227,310,33.01,82550.25,34.00,48.00,AllSensorsAntiClockWiseOpenValves(25degEnvTemp)
