yyyy-mm-dd timestamp,MQ6,MQ7,MQ8,MQ135,MQ3,MQ4,MQ2,MQ5,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-16 11:49:01,511,781,547,585,328,574,287,150,469,35.56,573,510,288,AirControl1609
2024-09-16 11:49:01,510,783,545,586,327,573,289,152,470,35.53,82701.10,37.00,41.00,AirControl1609
2024-09-16 11:49:02,512,781,547,586,326,574,287,150,469,35.55,82701.63,37.00,41.00,AirControl1609
2024-09-16 11:49:02,512,783,546,585,327,573,287,150,471,35.55,82702.69,37.00,41.00,AirControl1609
2024-09-16 11:49:03,510,781,547,586,328,572,287,149,470,35.56,82702.68,37.00,41.00,AirControl1609
2024-09-16 11:49:03,510,783,545,587,326,573,288,151,471,35.55,82700.78,37.00,41.00,AirControl1609
2024-09-16 11:49:04,510,781,546,587,326,575,288,150,469,35.57,82704.28,37.00,41.00,AirControl1609
2024-09-16 11:49:04,512,782,545,586,327,574,287,150,470,35.55,82700.08,37.00,41.00,AirControl1609
2024-09-16 11:49:05,512,782,547,587,328,574,288,149,469,35.56,82702.00,37.00,41.00,AirControl1609
2024-09-16 11:49:05,510,782,545,587,326,573,287,150,470,35.56,82704.97,37.00,41.00,AirControl1609
2024-09-16 11:49:06,511,782,546,586,327,575,287,149,470,35.57,82704.63,37.00,41.00,AirControl1609
2024-09-16 11:49:06,510,781,545,586,328,575,287,150,469,35.57,82703.91,37.00,41.00,AirControl1609
2024-09-16 11:49:07,511,781,546,585,328,574,287,150,470,35.56,82701.46,37.00,41.00,AirControl1609
2024-09-16 11:49:07,510,781,545,585,326,573,288,149,470,35.57,82703.75,37.00,41.00,AirControl1609
2024-09-16 11:49:08,510,781,545,586,327,575,288,152,470,35.56,82701.13,37.00,41.00,AirControl1609
2024-09-16 11:49:08,510,585,545,587,327,575,286,328,469,35.57,82703.75,37.00,41.00,AirControl1609
2024-09-16 11:49:09,510,782,547,586,327,575,288,150,469,35.57,82703.41,37.00,41.00,AirControl1609
2024-09-16 11:49:09,510,784,546,585,328,575,288,150,470,35.57,82705.50,37.00,41.00,AirControl1609
2024-09-16 11:49:10,510,784,546,586,327,573,288,150,471,35.56,82700.96,37.00,41.00,AirControl1609
2024-09-16 11:49:11,510,782,545,586,326,573,289,152,470,35.57,82702.17,37.00,41.00,AirControl1609
2024-09-16 11:49:11,510,781,547,585,326,573,288,150,469,35.57,82702.01,37.00,41.00,AirControl1609
2024-09-16 11:49:12,512,783,547,586,326,573,287,152,471,35.57,82701.82,37.00,41.00,AirControl1609
2024-09-16 11:49:12,511,781,546,587,328,573,287,149,469,35.57,82703.39,37.00,41.00,AirControl1609
2024-09-16 11:49:13,510,783,546,586,328,573,287,151,469,35.57,82703.74,37.00,41.00,AirControl1609
2024-09-16 11:49:13,510,782,546,585,328,574,286,152,469,35.56,82702.68,37.00,41.00,AirControl1609
2024-09-16 11:49:14,510,782,545,585,327,575,287,150,471,35.57,82705.83,37.00,41.00,AirControl1609
2024-09-16 11:49:14,510,781,547,585,328,573,288,150,470,35.57,82704.79,37.00,41.00,AirControl1609
2024-09-16 11:49:15,510,783,545,587,328,575,289,151,470,35.57,82703.21,37.00,41.00,AirControl1609
2024-09-16 11:49:15,511,781,545,587,327,575,286,152,469,35.57,82704.96,37.00,41.00,AirControl1609
2024-09-16 11:49:16,510,781,547,585,326,575,287,150,471,35.57,82703.57,37.00,41.00,AirControl1609
2024-09-16 11:49:16,510,781,547,587,326,575,288,150,470,35.57,82704.08,37.00,41.00,AirControl1609
2024-09-16 11:49:17,510,784,545,587,327,573,288,150,469,35.57,82702.70,37.00,41.00,AirControl1609
2024-09-16 11:49:17,510,783,546,587,329,575,288,150,469,35.57,82703.58,37.00,41.00,AirControl1609
2024-09-16 11:49:18,510,782,547,586,326,573,287,152,470,35.57,82702.88,37.00,41.00,AirControl1609
2024-09-16 11:49:18,510,782,545,585,327,575,288,150,469,35.57,82702.69,37.00,41.00,AirControl1609
2024-09-16 11:49:19,509,782,546,587,328,575,287,153,471,35.57,82703.74,37.00,41.00,AirControl1609
2024-09-16 11:49:19,512,782,545,587,328,574,288,149,470,35.57,82701.83,37.00,41.00,AirControl1609
2024-09-16 11:49:20,511,784,546,587,326,573,288,150,469,35.57,82701.82,37.00,41.00,AirControl1609
2024-09-16 11:49:20,511,782,547,586,329,573,286,152,469,35.57,82703.92,37.00,41.00,AirControl1609
2024-09-16 11:49:21,511,784,547,587,329,574,287,151,469,35.57,82700.60,37.00,41.00,AirControl1609
2024-09-16 11:49:21,511,783,546,586,327,574,288,151,470,35.56,82698.52,37.00,41.00,AirControl1609
2024-09-16 11:49:22,512,783,547,585,328,574,287,150,470,35.57,82700.60,37.00,41.00,AirControl1609
2024-09-16 11:49:23,510,783,547,585,326,574,286,149,470,35.57,82699.72,37.00,41.00,AirControl1609
2024-09-16 11:49:23,512,783,546,585,326,573,287,152,471,35.57,82700.96,37.00,41.00,AirControl1609
2024-09-16 11:49:24,511,783,545,587,326,575,287,152,471,35.57,82704.28,37.00,41.00,AirControl1609
2024-09-16 11:49:24,512,783,546,587,328,574,286,150,471,35.57,82700.79,37.00,41.00,AirControl1609
2024-09-16 11:49:25,511,782,546,587,328,573,287,151,470,35.57,82700.42,37.00,41.00,AirControl1609
2024-09-16 11:49:25,510,782,546,587,327,575,286,149,469,35.57,82700.96,37.00,41.00,AirControl1609
2024-09-16 11:49:26,510,782,545,586,328,575,287,151,471,35.57,82701.66,37.00,41.00,AirControl1609
2024-09-16 11:49:26,510,782,545,585,328,575,288,152,469,35.57,82702.00,37.00,41.00,AirControl1609
2024-09-16 11:49:27,511,784,547,586,327,575,286,151,469,35.57,82702.35,37.00,41.00,AirControl1609
2024-09-16 11:49:27,512,781,547,585,328,573,286,152,469,35.57,82702.86,37.00,41.00,AirControl1609
2024-09-16 11:49:28,512,782,546,586,326,574,287,151,469,35.58,82700.80,37.00,41.00,AirControl1609
2024-09-16 11:49:28,512,783,547,587,328,575,288,152,470,35.57,82702.86,37.00,41.00,AirControl1609
2024-09-16 11:49:29,510,781,545,587,328,574,286,152,469,35.57,82702.69,37.00,41.00,AirControl1609
2024-09-16 11:49:29,510,782,547,586,327,573,287,150,469,35.57,82702.70,37.00,41.00,AirControl1609
2024-09-16 11:49:30,510,784,547,585,327,575,286,151,469,35.57,82702.71,37.00,41.00,AirControl1609
2024-09-16 11:49:30,510,784,545,585,326,575,288,152,470,35.57,82698.16,37.00,41.00,AirControl1609
2024-09-16 11:49:31,510,783,545,585,326,575,287,150,470,35.57,82699.20,37.00,41.00,AirControl1609
2024-09-16 11:49:31,510,783,545,585,327,573,287,151,470,35.57,82699.92,37.00,41.00,AirControl1609
2024-09-16 11:49:32,511,783,547,585,328,574,288,150,471,35.57,82699.04,37.00,41.00,AirControl1609
2024-09-16 11:49:32,511,781,546,585,328,573,287,152,470,35.57,82697.80,37.00,41.00,AirControl1609
2024-09-16 11:49:33,510,783,545,586,327,573,287,151,470,35.57,82701.49,37.00,41.00,AirControl1609
2024-09-16 11:49:33,510,784,545,585,327,573,287,151,470,35.57,82697.11,37.00,41.00,AirControl1609
2024-09-16 11:49:34,511,781,545,586,328,574,289,152,469,35.57,82700.44,37.00,41.00,AirControl1609
2024-09-16 11:49:35,512,782,545,586,328,575,288,152,471,35.57,82700.07,37.00,41.00,AirControl1609
2024-09-16 11:49:35,511,782,546,587,326,573,288,149,471,35.57,82700.07,37.00,41.00,AirControl1609
2024-09-16 11:49:36,511,783,545,587,327,573,286,152,471,35.57,82700.42,37.00,41.00,AirControl1609
2024-09-16 11:49:36,509,781,545,587,326,575,288,150,471,35.58,82702.03,37.00,41.00,AirControl1609
2024-09-16 11:49:37,511,781,547,585,328,573,288,150,470,35.58,82701.67,37.00,41.00,AirControl1609
2024-09-16 11:49:42,509,782,548,588,329,574,380,151,469,35.53,82698.67,37.00,41.00,AirControl1609
2024-09-16 11:49:43,511,781,546,586,328,573,433,149,470,35.56,82698.85,37.00,41.00,AirControl1609
2024-09-16 11:49:43,510,782,548,586,327,573,461,151,469,35.57,82698.86,37.00,41.00,AirControl1609
2024-09-16 11:49:44,510,782,546,586,327,573,476,150,469,35.57,82698.35,37.00,41.00,AirControl1609
2024-09-16 11:49:44,512,781,547,586,329,573,481,149,468,35.58,82698.89,37.00,41.00,AirControl1609
2024-09-16 11:49:45,512,782,548,585,329,573,482,150,469,35.59,82701.50,37.00,41.00,AirControl1609
2024-09-16 11:49:45,510,780,545,587,327,573,483,152,470,35.59,82699.77,37.00,41.00,AirControl1609
2024-09-16 11:49:46,512,781,546,585,328,572,485,152,470,35.59,82696.09,38.00,42.00,AirControl1609
