yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-20 14:05:01,317,440,478,124,548,436,448,218,313,35.63,82601.42,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:02,315,440,479,125,546,436,448,218,312,35.65,82601.08,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:02,314,438,479,125,547,437,448,218,313,35.66,82599.52,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:03,316,437,478,123,548,436,448,218,312,35.67,82602.35,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:03,316,440,479,124,545,436,448,219,312,35.68,82599.21,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:04,317,440,478,124,545,437,448,218,312,35.68,82599.39,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:05,315,439,480,124,545,438,447,219,311,35.68,82598.17,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:05,316,438,480,123,549,436,447,219,313,35.68,82596.25,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:06,315,437,480,124,547,437,447,218,313,35.68,82597.31,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:06,317,438,479,124,545,436,447,218,313,35.68,82598.69,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:07,314,437,478,122,547,436,449,217,313,35.68,82602.01,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:07,317,438,478,122,547,436,447,218,313,35.68,82599.38,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:08,316,438,480,124,545,436,447,217,313,35.68,82598.88,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:08,316,438,477,123,546,436,447,219,313,35.68,82598.00,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:09,316,438,478,126,548,437,448,218,312,35.68,82597.13,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:09,316,438,478,123,547,437,448,218,312,35.68,82600.26,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-20 14:05:10,317,440,478,124,545,436,447,218,312,35.68,82599.57,37.00,29.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
