yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-16 15:58:28,386,567,542,160,795,631,402,304,496,35.96,82876.86,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:29,385,567,540,159,797,629,401,304,498,35.98,82853.66,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:29,386,565,539,160,797,629,401,302,498,35.99,82855.78,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:30,386,566,540,160,794,628,399,302,497,36.00,82879.52,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:30,385,566,539,158,794,630,400,301,497,36.00,82910.41,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:31,385,563,539,160,795,629,399,299,497,36.00,82890.35,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:32,385,565,538,160,794,629,398,299,494,36.00,82877.94,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:32,385,562,536,160,796,628,399,297,495,36.00,82861.36,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:33,384,562,538,160,794,630,397,298,494,36.01,82803.07,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:33,383,562,535,160,795,627,398,296,495,36.00,82795.58,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:34,383,561,534,158,793,628,396,296,495,36.00,82700.27,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:34,385,563,535,157,793,629,398,297,494,35.99,82669.56,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:35,383,561,535,158,795,627,397,298,494,35.99,82729.58,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:35,381,560,534,160,792,627,396,298,494,35.99,82829.22,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:36,383,560,532,160,792,628,396,298,493,35.98,82871.11,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:36,381,560,533,160,792,629,396,295,493,35.98,82909.69,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:37,381,559,532,159,794,627,395,296,494,35.99,82984.03,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:37,380,559,533,158,792,629,395,292,492,35.98,83026.81,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:38,383,561,533,159,793,626,394,292,493,35.99,83053.35,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:38,381,559,531,157,792,626,393,290,492,35.99,83016.52,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:39,381,558,533,158,791,628,391,287,492,35.99,82996.45,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:39,382,559,531,158,792,626,390,287,492,35.98,82931.86,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:40,382,559,532,160,790,628,390,286,491,35.98,82914.06,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:40,380,558,533,160,791,627,389,284,490,35.98,82960.82,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:41,380,559,534,158,791,626,389,284,489,35.98,82925.75,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:41,379,560,532,160,791,627,389,282,490,35.98,82877.94,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:42,380,559,532,156,791,626,389,282,490,35.98,82917.03,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:42,378,560,531,158,794,627,389,283,490,35.98,82885.09,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:43,379,558,530,156,790,628,389,282,489,35.98,82674.27,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:43,379,556,532,157,792,629,390,283,490,35.97,82672.68,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:44,378,557,528,158,792,631,389,284,489,35.96,82837.96,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:45,378,557,528,157,790,629,389,282,490,35.96,82870.42,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:45,379,556,527,156,791,630,389,284,489,35.96,82824.67,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:46,379,555,527,156,789,632,390,284,489,35.96,82798.16,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:46,376,555,526,156,792,631,390,284,489,35.96,82815.96,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:47,377,553,523,158,789,633,389,284,488,35.96,82812.47,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:47,376,552,525,155,790,632,390,282,490,35.97,82814.22,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:48,375,552,524,158,789,630,389,283,487,35.97,82792.56,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:48,377,551,521,155,790,631,390,283,489,35.96,82823.46,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:49,375,551,520,157,790,632,389,285,487,35.96,82833.22,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:49,374,550,521,155,788,631,390,286,487,35.96,82827.46,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:50,376,550,521,158,790,631,390,284,488,35.96,82839.17,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:50,374,549,520,158,790,631,391,284,487,35.96,82830.07,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:51,375,549,520,155,787,632,390,284,486,35.96,82829.38,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:51,374,549,518,156,786,634,390,283,489,35.95,82749.10,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:52,373,548,519,156,788,633,391,286,488,35.95,82725.20,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:52,373,546,517,157,789,633,391,286,487,35.95,82674.77,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:53,375,546,516,157,788,633,389,287,486,35.95,82676.17,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:53,372,546,518,156,787,631,391,288,486,35.95,82790.63,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:54,372,546,517,155,786,632,389,286,487,35.94,82829.89,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:54,373,546,516,155,786,632,389,287,486,35.94,82825.89,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:55,372,546,518,156,788,633,389,288,485,35.94,82868.99,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:55,373,545,520,156,785,631,389,284,485,35.94,82862.88,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:56,373,546,520,155,788,631,390,284,487,35.94,82846.49,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:56,370,548,518,155,787,631,390,284,484,35.94,82851.35,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:57,370,546,519,155,787,633,388,283,485,35.94,82848.39,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:57,370,546,519,155,788,632,388,283,484,35.94,82890.78,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:58,370,546,520,154,784,631,387,281,483,35.94,82888.19,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:59,371,546,518,157,786,631,388,283,483,35.94,82890.79,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:58:59,371,547,519,155,786,631,387,280,485,35.93,82874.38,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:00,370,545,519,154,786,632,387,280,484,35.93,82854.83,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:00,372,547,519,157,787,633,387,279,482,35.94,82850.31,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:01,370,547,518,154,786,631,388,280,483,35.93,82869.83,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:01,371,547,520,157,787,632,386,280,483,35.93,82906.66,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:02,368,546,519,156,786,633,385,281,482,35.93,82897.42,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:02,368,546,519,154,784,633,387,280,484,35.93,82846.47,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:03,370,544,520,155,786,632,387,278,482,35.93,82883.10,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:03,368,544,517,153,785,632,386,277,483,35.93,82863.39,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:04,368,546,518,153,785,632,386,277,483,35.93,82858.67,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:04,368,544,517,158,785,632,384,279,483,35.92,82803.19,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:05,367,544,517,155,784,631,386,280,482,35.92,82674.75,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:05,368,545,517,155,785,632,386,280,483,35.91,82709.28,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:06,369,545,519,157,786,633,385,280,483,35.91,82865.30,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:06,367,544,518,155,785,633,386,281,482,35.92,82862.16,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:07,367,544,518,155,786,633,385,278,480,35.91,82831.60,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:07,365,544,518,154,784,633,384,279,481,35.91,82817.30,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:08,365,543,518,155,786,633,386,278,482,35.91,82805.94,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:08,368,544,519,154,783,632,384,280,480,35.91,82790.08,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:09,367,543,517,155,784,633,386,280,480,35.91,82812.42,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:09,365,545,520,157,785,631,386,280,480,35.91,82785.02,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:10,364,543,519,155,785,633,386,280,479,35.91,82756.41,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:10,366,543,520,156,785,631,385,280,480,35.91,82769.85,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:11,364,545,520,153,783,633,385,279,481,35.90,82774.37,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:12,365,543,520,157,784,633,384,282,479,35.91,82760.77,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:12,364,544,521,155,784,631,386,280,480,35.90,82748.36,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:13,366,545,521,153,783,633,386,280,480,35.90,82745.06,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:13,364,542,519,153,783,631,387,280,480,35.90,82737.19,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:14,365,544,520,154,785,631,385,284,479,35.90,82778.57,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:14,364,544,521,155,782,632,387,282,479,35.90,82756.39,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:15,363,542,520,153,784,632,387,281,478,35.90,82691.30,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:15,362,543,518,157,783,631,387,283,478,35.90,82674.89,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:16,363,544,519,156,783,632,385,283,479,35.89,82743.46,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:16,362,541,519,157,784,633,386,282,478,35.89,82787.60,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:17,362,540,517,153,783,633,385,283,479,35.89,82778.71,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:17,364,540,518,154,784,632,387,283,477,35.89,82793.72,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:18,361,542,518,155,783,633,387,283,477,35.89,82808.37,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:18,363,540,516,154,784,633,386,282,476,35.88,82801.21,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:19,360,541,518,154,782,633,386,281,479,35.88,82845.55,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:19,362,539,515,156,782,633,387,282,477,35.89,82890.03,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:20,361,541,517,156,783,631,386,281,476,35.89,82897.54,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:20,360,538,516,156,782,631,384,280,476,35.88,82941.69,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:21,361,539,516,153,783,631,384,277,475,35.89,82885.32,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:21,361,540,515,153,781,632,382,279,476,35.89,82975.72,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:22,360,540,515,153,783,630,383,277,476,35.89,82949.02,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:22,361,538,516,153,783,631,382,274,477,35.88,82873.63,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:23,359,539,513,155,780,630,381,275,475,35.88,82855.67,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:23,360,537,513,156,782,630,381,273,475,35.88,82830.20,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:24,358,537,514,155,783,631,381,272,476,35.88,82836.47,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:24,358,536,513,156,781,630,380,272,475,35.88,82794.93,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:25,358,536,513,153,780,631,380,275,475,35.88,82826.35,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:25,359,536,511,156,780,630,380,272,474,35.88,82746.25,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:26,358,536,511,155,780,630,382,274,474,35.88,82674.17,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:27,358,536,512,153,780,630,380,273,473,35.88,82673.16,36.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:27,357,536,513,156,778,629,380,275,475,35.87,82750.44,36.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:28,358,534,511,153,779,631,382,275,473,35.87,82763.35,36.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:28,358,535,510,152,780,631,380,275,475,35.86,82776.07,36.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:29,355,534,511,152,779,630,383,275,473,35.86,82774.67,36.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:29,358,534,509,152,779,630,383,277,474,35.87,82759.50,36.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:30,357,533,510,156,780,631,382,274,475,35.86,82782.70,36.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:30,355,533,512,153,778,630,383,275,474,35.87,82778.52,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:31,355,534,509,153,778,629,382,277,473,35.86,82816.91,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:31,354,533,510,153,779,629,381,276,472,35.86,82852.14,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:32,355,536,513,153,780,630,380,276,474,35.87,82853.38,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:32,356,536,512,152,780,630,380,274,471,35.86,82828.78,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:33,356,534,514,152,780,629,382,274,471,35.87,82815.50,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:33,355,534,512,151,778,629,379,273,471,35.86,82813.94,37.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:34,355,534,511,154,777,631,380,273,472,35.86,82827.72,36.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:34,354,534,512,154,781,631,380,274,472,35.86,82793.35,36.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:35,353,535,512,154,779,629,379,273,472,35.86,82808.18,36.00,26.00,AirPostBlackTie0916
2024-09-16 15:59:35,353,534,513,154,779,629,379,272,471,35.86,82806.78,36.00,26.00,AirPostBlackTie0916
