yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-16 16:13:07,389,566,576,160,808,580,399,265,474,36.14,82687.67,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:07,389,566,578,159,808,579,400,265,472,36.15,82688.18,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:08,389,567,577,160,810,579,402,264,473,36.16,82686.28,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:08,390,564,579,159,808,581,400,265,473,36.16,82687.50,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:09,389,565,577,158,809,580,402,266,473,36.16,82686.97,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:09,389,566,578,159,809,580,401,263,472,36.16,82823.13,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:10,389,564,578,158,810,580,404,270,474,36.16,82970.84,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:10,388,567,578,159,809,578,410,270,474,36.17,83035.62,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:11,389,565,577,160,811,580,414,267,473,36.19,83021.50,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:11,389,564,579,159,812,580,414,267,474,36.20,82997.94,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:12,388,564,578,160,808,578,412,264,473,36.20,82977.52,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:12,390,566,579,159,810,579,411,259,471,36.21,82956.05,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:13,388,564,580,162,811,579,407,256,472,36.22,82963.03,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:13,387,565,580,163,811,579,405,256,472,36.22,82981.55,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:14,389,565,576,160,810,578,402,252,470,36.23,82981.19,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:14,389,565,578,162,810,578,400,249,469,36.23,82944.91,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:15,389,565,574,162,811,578,397,248,468,36.24,82926.58,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:15,388,565,572,162,813,576,397,246,470,36.24,82729.10,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:16,386,564,572,163,813,576,395,246,467,36.24,82861.25,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:17,388,563,571,161,810,576,391,246,466,36.24,82919.94,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:17,385,560,567,161,811,578,392,245,468,36.24,82960.43,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:18,387,560,566,161,810,576,390,242,467,36.25,82945.26,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:18,386,560,566,161,808,577,387,242,465,36.25,82946.83,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:19,384,560,564,161,809,576,384,238,466,36.25,82953.46,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:19,385,558,561,162,808,576,383,237,464,36.25,82950.67,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:20,382,555,559,160,807,577,382,238,463,36.25,82934.08,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:20,383,556,560,160,805,576,380,237,463,36.25,82929.36,37.00,28.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:21,382,554,556,160,807,576,379,235,464,36.25,82927.97,37.00,27.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:21,381,555,556,159,807,574,379,233,462,36.26,82937.59,37.00,27.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:22,383,553,553,159,803,574,378,232,462,36.25,82967.43,37.00,27.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:22,380,553,553,157,804,576,377,232,462,36.26,82964.12,37.00,27.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:23,379,551,551,157,804,574,375,231,461,36.26,82966.89,37.00,27.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:23,381,551,551,159,802,574,375,227,460,36.26,82999.39,37.00,27.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:24,379,552,550,159,802,573,371,226,459,36.26,83016.88,37.00,27.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:24,381,551,549,156,802,576,372,228,460,36.26,83012.84,37.00,27.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:25,378,551,549,159,801,573,369,224,458,36.26,83076.07,37.00,27.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:25,378,548,547,155,799,575,368,224,458,36.26,82839.46,37.00,27.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:26,378,550,547,156,800,574,368,223,457,36.26,82800.52,37.00,27.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:26,378,548,546,155,799,574,367,223,458,36.26,82944.92,37.00,27.00,AirPostSilverMynSauvBlanc
2024-09-16 16:13:27,378,546,546,155,799,575,368,224,458,36.26,82947.86,37.00,27.00,AirPostSilverMynSauvBlanc
