yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-16 15:44:31,700,836,826,389,918,717,671,634,699,717,671,634,700,AirPostSophie0916
2024-09-16 15:44:31,700,835,827,389,918,718,671,634,700,36.37,82723.42,38.00,60.00,AirPostSophie0916
2024-09-16 15:44:32,699,835,825,390,918,717,669,634,699,36.38,82723.42,38.00,60.00,AirPostSophie0916
2024-09-16 15:44:32,700,836,826,391,918,717,671,633,699,36.39,82725.88,38.00,60.00,AirPostSophie0916
2024-09-16 15:44:33,701,837,827,391,919,718,669,633,699,36.40,82724.50,38.00,60.00,AirPostSophie0916
2024-09-16 15:44:33,701,834,827,391,917,717,670,633,700,36.40,82726.07,38.00,60.00,AirPostSophie0916
2024-09-16 15:44:34,699,835,826,389,918,717,670,633,700,36.40,82726.58,38.00,60.00,AirPostSophie0916
2024-09-16 15:44:34,699,836,828,388,919,718,672,633,699,36.40,82726.75,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:35,699,837,828,390,918,716,670,633,700,36.40,82723.46,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:36,700,837,828,388,917,717,671,632,699,36.40,82723.96,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:36,701,835,828,389,917,718,671,632,698,36.40,82724.14,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:37,701,835,827,389,918,717,672,632,700,36.41,82726.25,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:37,700,836,827,388,918,718,671,633,698,36.40,82724.67,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:38,699,836,828,390,916,717,671,633,698,36.40,82725.53,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:38,699,834,827,388,916,718,671,633,698,36.40,82725.19,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:39,699,837,828,388,918,718,670,633,699,36.40,82726.24,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:39,700,835,826,388,917,717,670,632,698,36.41,82723.80,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:40,701,835,828,388,917,717,671,633,699,36.40,82727.28,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:40,701,834,826,388,917,717,672,632,699,36.40,82725.37,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:41,700,834,828,387,919,719,670,632,698,36.41,82726.94,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:41,702,836,826,387,917,718,671,633,698,36.41,82725.02,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:42,700,834,827,388,919,719,671,634,699,36.41,82729.74,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:42,701,835,827,387,916,716,671,633,697,36.41,82728.17,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:43,702,835,828,390,918,717,670,632,697,36.41,82724.85,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:43,701,835,827,387,917,718,670,632,699,36.41,82725.19,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:44,701,836,827,387,917,717,669,633,697,36.40,82722.39,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:44,701,835,827,388,917,717,671,632,698,36.41,82726.25,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:45,701,835,825,389,918,719,672,633,698,36.41,82727.30,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:45,701,835,827,389,918,717,671,634,698,36.41,82724.50,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:46,701,834,828,388,918,717,670,632,697,36.41,82724.85,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:46,700,836,827,385,918,717,671,633,697,36.41,82725.53,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:47,701,835,828,388,917,719,672,633,698,36.41,82726.22,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:47,702,835,827,389,919,719,671,633,696,36.41,82725.02,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:48,700,835,827,388,917,719,670,633,697,36.41,82725.35,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:48,701,835,828,387,918,717,672,631,698,36.41,82725.90,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:49,700,834,827,389,917,719,671,632,697,36.41,82726.25,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:50,703,835,827,388,916,717,670,633,696,36.41,82727.47,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:50,702,837,828,390,918,719,671,631,696,36.41,82725.02,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:51,701,834,826,387,916,717,670,633,698,36.41,82725.19,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:51,701,835,829,388,917,719,671,632,697,36.41,82725.71,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:52,702,835,827,388,916,717,672,631,698,36.41,82726.59,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:52,702,835,828,388,918,718,672,632,697,36.41,82724.83,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:53,703,834,828,388,917,719,672,634,698,36.41,82724.66,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:53,702,834,829,388,917,718,672,631,697,36.41,82729.22,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:54,702,835,828,387,917,719,670,631,697,36.41,82729.20,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:54,702,834,827,388,917,718,672,633,697,36.41,82729.72,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:55,701,836,826,388,916,717,672,633,696,36.41,82729.89,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:55,701,835,828,389,916,718,672,632,696,36.41,82728.16,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:56,702,836,828,386,917,719,671,631,695,36.41,82727.97,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:56,703,835,827,389,918,718,672,631,697,36.41,82726.58,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:57,703,834,827,388,917,718,671,631,695,36.41,82727.30,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:57,703,835,828,386,918,719,672,632,695,36.41,82725.88,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:58,701,834,828,388,917,718,671,631,696,36.41,82726.41,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:58,704,834,827,388,917,718,672,633,695,36.41,82724.83,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:59,703,834,827,389,916,719,673,632,695,36.41,82725.19,38.00,61.00,AirPostSophie0916
2024-09-16 15:44:59,703,835,828,386,917,718,672,631,697,36.42,82724.32,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:00,703,834,827,389,916,719,672,633,695,36.41,82726.05,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:00,703,834,829,388,916,718,672,632,695,36.41,82726.93,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:01,702,834,828,386,918,720,671,632,694,36.41,82723.78,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:01,704,834,827,387,918,720,671,633,696,36.41,82725.36,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:02,705,835,828,387,917,718,672,631,697,36.42,82725.53,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:03,703,836,828,387,917,721,672,634,697,36.41,82725.02,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:03,702,836,830,388,916,719,674,634,696,36.42,82727.29,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:04,705,837,828,386,916,717,673,634,695,36.41,82725.71,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:04,703,835,829,387,916,719,672,634,696,36.42,82727.11,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:05,703,834,829,388,917,718,672,634,697,36.42,82726.60,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:05,703,835,827,387,916,717,673,634,696,36.42,82728.86,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:06,703,834,829,387,915,717,671,632,696,36.41,82724.33,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:06,704,834,829,386,915,719,673,635,697,36.41,82721.35,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:07,704,833,827,388,917,724,675,635,698,36.41,82724.14,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:07,704,834,828,387,916,720,675,634,698,36.41,82723.27,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:08,704,834,829,387,916,722,676,635,698,36.42,82723.80,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:08,703,836,828,389,917,721,675,634,697,36.42,82722.93,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:09,705,837,830,388,916,723,674,634,697,36.41,82724.48,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:09,703,834,829,388,916,724,674,634,698,36.42,82724.32,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:10,705,834,828,386,917,722,674,635,696,36.42,82725.72,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:10,705,834,827,387,916,722,674,633,697,36.42,82720.47,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:11,703,834,829,386,915,722,675,634,697,36.42,82723.63,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:11,705,833,829,386,917,722,675,634,696,36.42,82723.45,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:12,705,836,828,385,917,722,675,633,697,36.42,82723.62,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:12,703,835,827,387,915,722,675,634,697,36.42,82722.57,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:13,704,836,827,386,918,722,674,635,697,36.41,82721.52,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:13,704,833,828,386,916,721,674,635,698,36.41,82724.14,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:14,705,834,829,385,915,721,675,633,698,36.42,82722.75,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:14,704,833,829,385,918,723,674,634,696,36.42,82724.69,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:15,706,835,828,386,915,722,675,635,696,36.41,82721.86,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:16,704,836,827,386,914,724,674,634,697,36.42,82720.67,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:16,706,834,828,387,916,724,674,633,697,36.42,82723.82,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:17,706,834,829,387,916,724,675,635,696,36.42,82723.99,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:17,706,833,829,386,916,724,674,633,697,36.42,82722.24,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:18,705,835,828,385,916,724,675,634,697,36.42,82725.03,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:18,705,834,828,385,915,724,674,633,697,36.42,82725.19,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:19,703,835,828,387,916,724,673,635,695,36.42,82724.16,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:19,706,834,827,387,916,724,675,633,696,36.42,82723.27,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:20,706,834,828,387,916,722,674,632,695,36.42,82723.61,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:20,706,833,829,385,916,723,674,634,695,36.42,82722.24,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:21,706,833,827,385,917,722,675,633,696,36.42,82722.58,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:21,705,835,830,387,916,724,674,633,695,36.42,82722.92,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:22,706,834,828,387,915,724,674,632,695,36.42,82724.86,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:22,705,832,829,387,918,722,675,632,695,36.42,82726.59,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:23,705,834,828,384,917,723,674,632,696,36.43,82724.14,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:23,705,834,828,385,916,721,675,632,694,36.42,82723.27,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:24,706,834,828,384,915,721,673,634,694,36.42,82722.92,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:24,705,834,828,387,916,721,673,634,695,36.42,82723.97,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:25,707,834,828,385,916,722,673,633,694,36.42,82722.39,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:25,707,834,829,385,917,723,675,633,695,36.43,82723.28,38.00,61.00,AirPostSophie0916
2024-09-16 15:45:26,706,834,829,386,915,721,673,633,693,36.42,82723.61,38.00,61.00,AirPostSophie0916
