yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-17 15:44:12,283,441,416,128,618,465,351,205,292,31.76,82628.69,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:13,282,439,416,128,616,467,351,204,294,31.79,82627.88,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:13,283,439,419,126,617,465,351,206,294,31.81,82629.63,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:14,283,439,417,127,618,465,351,203,294,31.81,82626.85,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:15,282,442,416,130,616,466,352,205,292,31.81,82627.39,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:15,284,440,417,129,616,466,350,203,294,31.81,82629.64,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:16,281,442,417,128,617,465,349,203,292,31.82,82629.30,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:16,283,440,420,126,617,465,351,206,294,31.82,82632.78,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:17,284,443,420,127,616,467,352,206,294,31.82,82629.82,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:17,282,442,419,128,617,467,350,205,293,31.82,82630.54,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:18,281,440,418,127,617,466,350,205,294,31.82,82631.57,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:18,283,441,419,130,617,465,351,206,294,31.83,82630.54,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:19,281,440,420,128,616,467,349,205,293,31.83,82630.72,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:19,281,442,420,128,617,466,349,205,294,31.82,82631.22,33.00,34.00,ValveOpenAirTestNoPump
2024-09-17 15:44:20,282,441,274,457,448,467,350,206,293,31.83,82631.24,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:20,277,455,448,128,607,467,351,204,295,31.83,82630.71,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:21,276,457,448,131,609,467,351,203,295,31.83,82630.89,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:21,274,455,445,128,607,467,351,203,294,31.83,82632.27,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:22,274,457,447,128,608,465,352,205,293,31.83,82630.55,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:22,276,455,446,130,609,465,352,203,294,31.83,82633.14,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:23,276,457,446,129,607,466,350,206,294,31.83,82631.05,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:23,274,457,446,131,609,464,352,204,293,31.82,82630.19,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:24,275,455,447,130,609,467,352,205,293,31.83,82633.32,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:24,275,454,447,129,607,466,352,206,295,31.83,82630.00,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:25,275,455,445,129,608,466,350,206,295,31.83,82628.97,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:25,276,457,446,128,607,465,350,204,293,31.82,82630.52,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:26,274,457,446,128,609,467,351,204,295,31.83,82631.94,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:27,275,457,446,128,609,465,351,205,294,31.83,82632.10,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:27,275,457,446,131,607,465,352,204,294,31.83,82631.77,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:28,276,457,448,129,607,466,351,204,293,31.83,82627.94,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:28,274,455,446,129,608,465,350,203,293,31.83,82629.35,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:29,274,457,446,128,609,466,351,204,295,31.83,82629.32,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:29,275,455,448,130,607,465,352,206,296,31.83,82630.73,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:30,276,456,447,130,608,465,350,203,293,31.83,82633.49,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:30,277,455,447,131,607,466,350,204,293,31.83,82629.52,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:31,276,457,447,129,607,465,352,205,293,31.83,82630.36,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:31,274,456,448,131,608,465,351,204,294,31.83,82630.19,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:32,277,455,449,128,609,466,351,204,293,31.83,82633.16,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:32,274,458,447,128,609,464,351,206,296,31.84,82630.39,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:33,276,456,446,130,607,465,351,205,295,31.83,82631.58,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:33,275,456,448,130,609,464,351,204,295,31.84,82631.60,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:34,277,457,448,130,609,465,351,204,294,31.83,82633.14,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:34,276,455,448,129,607,465,351,204,294,31.83,82632.80,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:35,277,456,446,131,608,466,353,205,294,31.83,82630.19,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:35,276,455,446,129,609,465,353,206,295,31.83,82630.89,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:36,275,456,447,130,608,464,351,204,294,31.83,82631.24,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:36,274,455,446,128,607,464,352,206,295,31.83,82628.46,33.00,35.00,ValveOpenAirTestNoPump
2024-09-17 15:44:37,274,456,447,128,607,464,350,203,292,31.83,82630.02,33.00,35.00,ValveOpenAirTestNoPump
