yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-30 16:07:11,575,808,759,280,928,658,669,573,646,32.80,83352.58,35.00,64.00,Sophie
2024-09-30 16:07:11,574,809,758,279,931,653,668,575,646,32.80,83337.32,35.00,64.00,Sophie
2024-09-30 16:07:12,573,808,758,279,928,656,671,574,646,32.80,83337.32,35.00,64.00,Sophie
2024-09-30 16:07:12,574,810,761,280,928,656,671,574,644,32.81,83309.19,35.00,64.00,Sophie
2024-09-30 16:07:12,574,808,760,279,929,656,671,576,643,32.81,83309.19,35.00,64.00,Sophie
2024-09-30 16:07:12,573,811,759,279,930,657,670,576,645,32.81,83293.60,35.00,64.00,Sophie
2024-09-30 16:07:12,575,809,758,282,928,658,670,574,644,32.81,83293.60,35.00,64.00,Sophie
2024-09-30 16:07:12,573,811,759,281,928,658,669,577,644,32.81,83265.47,35.00,64.00,Sophie
2024-09-30 16:07:12,575,810,759,281,928,656,670,578,646,32.81,83265.47,35.00,64.00,Sophie
2024-09-30 16:07:12,574,809,760,282,930,657,671,577,644,32.82,83260.08,35.00,64.00,Sophie
2024-09-30 16:07:12,573,811,758,281,930,656,672,576,646,32.82,83260.08,35.00,64.00,Sophie
2024-09-30 16:07:12,575,808,762,280,928,657,672,576,644,32.82,83279.88,35.00,64.00,Sophie
2024-09-30 16:07:12,573,810,761,280,929,659,671,577,646,32.82,83279.88,35.00,64.00,Sophie
2024-09-30 16:07:12,574,808,760,283,930,657,670,578,646,32.82,83292.03,35.00,64.00,Sophie
2024-09-30 16:07:12,574,810,759,281,929,656,673,577,644,32.82,83292.03,35.00,64.00,Sophie
2024-09-30 16:07:12,576,810,760,281,928,657,671,579,646,32.82,83304.90,35.00,64.00,Sophie
2024-09-30 16:07:12,574,809,761,283,929,656,673,578,646,32.82,83304.90,35.00,64.00,Sophie
2024-09-30 16:07:12,576,810,759,281,930,658,670,580,644,32.83,83260.64,35.00,64.00,Sophie
2024-09-30 16:07:12,574,809,762,280,928,657,673,578,644,32.83,83260.64,35.00,64.00,Sophie
2024-09-30 16:07:12,576,811,762,283,930,659,670,578,646,32.83,83252.49,35.00,64.00,Sophie
2024-09-30 16:07:12,573,811,759,283,928,658,672,578,646,32.83,83252.49,35.00,64.00,Sophie
2024-09-30 16:07:12,576,810,759,282,931,657,671,580,646,32.82,83153.84,35.00,64.00,Sophie
2024-09-30 16:07:12,576,809,761,283,929,657,672,580,644,32.82,83153.84,35.00,64.00,Sophie
2024-09-30 16:07:12,575,809,759,282,931,657,673,579,646,32.82,83175.17,35.00,64.00,Sophie
2024-09-30 16:07:12,576,808,763,281,928,658,673,578,646,32.82,83175.17,35.00,64.00,Sophie
2024-09-30 16:07:12,576,809,762,281,930,659,670,581,645,32.82,83171.55,35.00,64.00,Sophie
2024-09-30 16:07:12,575,811,762,282,928,659,672,580,647,32.82,83171.55,35.00,64.00,Sophie
2024-09-30 16:07:12,574,811,763,282,929,659,673,578,647,32.82,83110.42,35.00,64.00,Sophie
2024-09-30 16:07:12,575,811,760,282,931,657,674,579,648,32.82,83110.42,35.00,64.00,Sophie
2024-09-30 16:07:12,575,810,762,282,930,657,672,581,646,32.83,83082.30,35.00,64.00,Sophie
2024-09-30 16:07:12,577,809,763,282,928,660,672,580,645,32.83,83082.30,35.00,64.00,Sophie
2024-09-30 16:07:12,577,811,760,283,928,660,671,580,647,32.82,83107.48,35.00,64.00,Sophie
2024-09-30 16:07:12,574,811,760,283,931,657,673,579,645,32.82,83107.48,35.00,64.00,Sophie
2024-09-30 16:07:13,577,809,762,283,928,660,671,582,645,32.82,83100.36,35.00,64.00,Sophie
2024-09-30 16:07:13,576,812,760,283,928,660,674,579,644,32.82,83100.36,35.00,64.00,Sophie
2024-09-30 16:07:13,577,809,763,282,929,658,673,581,645,32.82,83116.50,35.00,63.00,Sophie
2024-09-30 16:07:13,576,812,761,282,928,655,671,581,646,32.82,83116.50,35.00,63.00,Sophie
2024-09-30 16:07:13,577,811,762,282,928,660,672,580,645,32.83,83104.02,35.00,63.00,Sophie
2024-09-30 16:07:13,576,810,760,283,931,657,673,580,647,32.83,83104.02,35.00,63.00,Sophie
2024-09-30 16:07:13,575,810,763,283,928,660,673,580,645,32.83,83097.59,35.00,63.00,Sophie
2024-09-30 16:07:13,576,809,762,284,928,660,671,583,647,32.83,83097.59,35.00,63.00,Sophie
2024-09-30 16:07:13,576,812,761,283,931,658,674,581,645,32.83,83209.07,35.00,63.00,Sophie
2024-09-30 16:07:13,577,813,763,283,928,660,672,582,646,32.83,83209.07,35.00,63.00,Sophie
2024-09-30 16:07:13,575,810,763,284,929,658,672,582,645,32.83,83164.96,35.00,63.00,Sophie
2024-09-30 16:07:13,575,813,762,283,930,660,671,583,645,32.83,83164.96,35.00,63.00,Sophie
2024-09-30 16:07:13,577,810,764,284,928,659,673,582,647,32.83,83110.08,35.00,63.00,Sophie
2024-09-30 16:07:13,576,811,760,286,931,658,672,582,646,32.83,83110.08,35.00,63.00,Sophie
2024-09-30 16:07:13,576,812,764,284,932,658,674,581,647,32.83,83143.96,35.00,63.00,Sophie
2024-09-30 16:07:13,576,813,762,284,932,661,672,584,647,32.83,83143.96,35.00,63.00,Sophie
2024-09-30 16:07:13,577,810,762,286,930,658,672,581,647,32.83,83064.94,35.00,63.00,Sophie
2024-09-30 16:07:13,575,810,764,285,929,660,674,582,647,32.83,83064.94,35.00,63.00,Sophie
2024-09-30 16:07:13,576,812,761,285,930,658,674,582,646,32.83,83060.42,35.00,63.00,Sophie
2024-09-30 16:07:13,576,814,762,284,931,658,673,582,647,32.83,83060.42,35.00,63.00,Sophie
2024-09-30 16:07:13,577,811,761,286,930,658,673,583,645,32.83,82989.39,35.00,63.00,Sophie
2024-09-30 16:07:13,576,810,764,285,932,659,674,582,647,32.83,82989.39,35.00,63.00,Sophie
2024-09-30 16:07:13,576,810,763,285,931,659,674,582,646,32.83,83047.07,35.00,63.00,Sophie
2024-09-30 16:07:13,575,813,761,287,931,659,671,584,647,32.83,83047.07,35.00,63.00,Sophie
2024-09-30 16:07:13,578,813,762,284,929,660,672,583,647,32.83,83141.51,35.00,63.00,Sophie
2024-09-30 16:07:13,578,813,763,285,930,660,672,585,647,32.83,83141.51,35.00,63.00,Sophie
2024-09-30 16:07:13,577,814,761,286,928,661,672,582,648,32.83,83086.11,35.00,63.00,Sophie
2024-09-30 16:07:13,577,812,763,285,930,661,672,583,648,32.83,83086.11,35.00,63.00,Sophie
2024-09-30 16:07:13,578,813,762,285,930,659,672,584,648,32.83,83075.87,35.00,63.00,Sophie
2024-09-30 16:07:13,576,811,761,286,931,658,674,583,648,32.83,83075.87,35.00,63.00,Sophie
2024-09-30 16:07:13,576,811,763,285,931,659,673,584,647,32.83,83116.00,35.00,63.00,Sophie
2024-09-30 16:07:14,576,814,761,288,931,659,672,586,645,32.83,83116.00,35.00,63.00,Sophie
2024-09-30 16:07:14,576,811,764,285,930,661,672,585,646,32.83,83065.29,35.00,63.00,Sophie
2024-09-30 16:07:14,576,813,762,288,931,659,671,584,647,32.83,83065.29,35.00,63.00,Sophie
2024-09-30 16:07:14,577,812,764,285,928,661,672,586,647,32.83,83046.53,35.00,63.00,Sophie
2024-09-30 16:07:14,576,812,763,288,928,662,672,586,646,32.83,83046.53,35.00,63.00,Sophie
2024-09-30 16:07:14,578,814,763,285,928,660,672,585,648,32.83,83084.58,35.00,63.00,Sophie
2024-09-30 16:07:14,577,811,764,286,929,662,673,584,649,32.83,83084.58,35.00,63.00,Sophie
2024-09-30 16:07:14,577,812,763,286,929,657,668,585,646,32.83,83097.75,35.00,63.00,Sophie
2024-09-30 16:07:14,578,811,762,288,929,662,674,584,646,32.83,83097.75,35.00,63.00,Sophie
2024-09-30 16:07:14,579,811,763,288,929,662,672,586,646,32.83,83039.60,35.00,63.00,Sophie
2024-09-30 16:07:14,577,814,763,287,930,660,672,584,647,32.83,83039.60,35.00,63.00,Sophie
2024-09-30 16:07:14,578,812,763,287,931,660,672,587,646,32.83,83031.25,35.00,63.00,Sophie
2024-09-30 16:07:14,576,814,764,287,931,660,672,587,648,32.83,83031.25,35.00,63.00,Sophie
2024-09-30 16:07:14,577,813,764,287,933,659,672,585,646,32.83,83066.50,35.00,63.00,Sophie
2024-09-30 16:07:14,577,812,764,289,932,662,672,586,647,32.83,83066.50,35.00,63.00,Sophie
2024-09-30 16:07:14,578,811,765,287,931,660,673,584,648,32.83,82973.60,35.00,63.00,Sophie
2024-09-30 16:07:14,578,813,764,287,932,661,672,588,646,32.83,82973.60,35.00,63.00,Sophie
2024-09-30 16:07:14,577,812,764,288,929,662,672,588,648,32.83,83036.99,35.00,63.00,Sophie
2024-09-30 16:07:14,578,814,763,287,932,662,672,587,648,32.83,83036.99,35.00,63.00,Sophie
2024-09-30 16:07:14,577,812,764,288,929,661,674,585,648,32.83,83077.80,35.00,63.00,Sophie
2024-09-30 16:07:14,576,815,762,288,929,660,673,588,649,32.83,83077.80,35.00,63.00,Sophie
2024-09-30 16:07:14,579,812,763,286,929,661,674,586,649,32.83,82968.75,35.00,63.00,Sophie
