yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-25 14:30:07,511,777,719,336,954,730,668,682,703,32.67,82772.72,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:08,510,773,721,336,951,729,669,681,701,32.70,82742.60,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:08,509,774,721,335,951,729,669,681,702,32.71,82725.61,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:09,511,776,720,335,952,729,666,681,701,32.72,82714.00,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:09,509,774,720,336,950,729,666,682,702,32.72,82730.49,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:10,509,775,719,334,952,730,667,681,701,32.73,82734.12,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:10,510,775,721,335,954,728,668,682,700,32.73,83053.77,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:11,509,774,719,336,954,730,668,682,702,32.73,83092.30,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:11,511,774,721,337,951,729,666,680,701,32.73,83140.92,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:12,511,775,720,336,952,730,666,682,700,32.73,83122.19,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:12,510,775,721,337,952,730,667,681,701,32.73,82930.00,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:13,510,775,721,334,951,728,666,681,702,32.73,83044.93,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:14,509,775,718,335,951,729,668,682,701,32.73,82978.95,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:14,510,776,721,334,951,731,667,680,701,32.73,82928.78,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:15,510,774,720,336,952,730,667,683,700,32.74,83010.91,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:15,513,775,720,336,952,730,667,680,701,32.73,83033.82,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:16,513,775,719,336,950,729,668,682,700,32.74,83022.17,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:16,513,774,720,335,951,729,666,682,701,32.74,83008.99,34.00,69.00,Namaqua2509(20degEnvTemp)
2024-09-25 14:30:17,513,777,719,334,952,731,666,681,702,32.74,83033.14,34.00,69.00,Namaqua2509(20degEnvTemp)
