yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-25 14:16:01,668,830,805,501,950,753,788,775,71Sensor_A0,787,774,710,32.63,Moscato2509(20degEnvTemp)
2024-09-25 14:16:01,667,833,806,500,948,754,789,776,710,32.65,83337.03,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:02,667,832,807,499,948,753,787,774,710,32.67,83324.07,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:02,666,831,806,498,949,753,787,774,710,32.68,83291.47,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:03,668,830,806,499,949,753,788,775,711,32.68,83259.87,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:03,667,830,804,498,948,755,788,774,710,32.68,83227.06,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:04,666,830,805,500,951,755,788,774,710,32.68,83265.75,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:04,666,831,804,498,949,755,789,775,711,32.68,83218.73,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:05,666,832,804,499,949,753,787,774,708,32.68,83295.98,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:05,666,830,804,498,948,753,787,774,709,32.68,83284.35,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:06,665,831,662,825,800,755,787,774,709,32.69,83298.92,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:06,661,824,801,482,948,754,788,774,709,32.69,83223.25,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:07,662,825,800,482,948,755,788,774,710,32.69,83169.43,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:07,660,824,800,481,949,755,789,775,711,32.69,82935.78,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:08,663,825,802,484,950,754,788,775,711,32.69,82764.43,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:08,660,824,799,482,946,754,787,774,710,32.69,82766.87,34.00,62.00,Moscato2509(20degEnvTemp)
2024-09-25 14:16:09,663,824,800,482,948,755,789,775,711,32.68,82771.89,34.00,62.00,Moscato2509(20degEnvTemp)
