timestamp,MQ3,MQ135,MQ8,MQ5,MQ7,MQ4,MQ6,MQ2,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity
2024-09-16 08:42:46,582,891,837,441,944,816,723,676,713,29.64,82781.88,30.00,79.00
2024-09-16 08:42:47,582,890,838,441,945,815,725,676,715,29.65,82783.12,30.00,79.00
2024-09-16 08:42:47,581,892,838,442,945,815,722,675,714,29.66,82783.18,30.00,79.00
2024-09-16 08:42:48,581,892,838,442,946,815,724,674,713,29.66,82784.22,30.00,79.00
2024-09-16 08:42:48,584,892,837,441,945,816,722,674,712,29.67,82809.08,30.00,79.00
2024-09-16 08:42:49,582,893,838,441,945,816,724,677,714,29.66,84471.55,30.00,79.00
2024-09-16 08:42:49,583,891,838,441,946,816,724,683,714,29.67,85257.74,30.00,79.00
2024-09-16 08:42:50,583,889,838,441,945,815,724,686,714,29.68,85706.67,30.00,79.00
2024-09-16 08:42:51,585,891,837,441,944,817,723,688,713,29.69,85769.80,30.00,79.00
2024-09-16 08:42:51,583,890,836,441,944,815,724,689,713,29.71,84813.19,30.00,79.00
2024-09-16 08:42:52,584,891,837,442,945,817,724,689,713,29.71,84081.21,30.00,79.00
2024-09-16 08:42:52,586,892,839,442,945,816,724,687,712,29.71,83677.02,30.00,79.00
2024-09-16 08:42:53,584,892,837,442,946,816,725,687,714,29.70,84808.78,30.00,79.00
2024-09-16 08:42:53,586,890,840,442,944,818,725,691,713,29.70,85691.69,30.00,79.00
2024-09-16 08:42:54,588,892,841,442,945,817,725,691,715,29.71,85671.93,30.00,79.00
2024-09-16 08:42:54,590,891,840,442,944,817,725,691,713,29.72,84870.83,30.00,79.00
2024-09-16 08:42:55,588,892,840,443,945,818,725,692,714,29.73,85109.07,30.00,79.00
2024-09-16 08:42:55,591,892,840,442,943,816,726,691,714,29.72,85061.66,30.00,79.00
2024-09-16 08:42:56,592,890,843,442,943,817,725,692,714,29.72,85125.47,30.00,79.00
2024-09-16 08:42:56,592,891,841,442,946,816,727,693,713,29.73,85394.22,30.00,79.00
2024-09-16 08:42:57,591,891,842,442,945,817,726,693,715,29.73,85208.33,30.00,80.00
2024-09-16 08:42:57,593,891,844,441,945,818,726,692,714,29.73,85156.49,30.00,80.00
2024-09-16 08:42:58,593,890,843,441,943,818,725,694,716,29.74,86161.16,30.00,80.00
2024-09-16 08:42:58,595,890,842,441,945,819,725,697,714,29.74,86244.10,30.00,80.00
2024-09-16 08:42:59,593,892,843,443,943,818,728,695,715,29.75,86251.35,30.00,80.00
2024-09-16 08:42:59,596,891,844,442,944,817,726,698,716,29.74,86164.53,30.00,80.00
2024-09-16 08:43:00,595,892,843,442,944,818,727,696,716,29.74,85407.46,30.00,80.00
2024-09-16 08:43:00,596,892,843,441,945,820,726,696,716,29.73,84309.81,30.00,80.00
2024-09-16 08:43:01,596,892,842,442,943,818,726,695,716,29.73,84053.13,30.00,80.00
2024-09-16 08:43:01,599,890,845,442,944,818,726,696,716,29.73,84583.39,30.00,80.00
2024-09-16 08:43:02,600,892,846,443,943,820,725,696,716,29.72,84527.36,30.00,80.00
2024-09-16 08:43:02,601,891,846,442,945,817,727,696,715,29.73,84464.12,30.00,80.00
2024-09-16 08:43:03,602,892,844,441,943,817,726,696,716,29.72,84628.64,30.00,80.00
2024-09-16 08:43:03,602,891,844,442,943,819,726,697,715,29.72,84628.49,30.00,80.00
