yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-25 14:43:52,555,795,743,315,947,686,71Sensor_A0,711,666,685,33.13,82723.45,34.00,BlackTie
2024-09-25 14:43:53,554,795,743,315,946,681,708,666,683,33.17,82724.71,34.00,63.00,BlackTie
2024-09-25 14:43:53,556,795,740,316,947,683,708,665,682,33.18,82777.71,34.00,63.00,BlackTie
2024-09-25 14:43:54,555,795,740,315,945,682,709,667,685,33.19,83090.82,34.00,63.00,BlackTie
2024-09-25 14:43:54,556,796,742,315,946,683,708,664,683,33.19,82994.90,34.00,63.00,BlackTie
2024-09-25 14:43:55,556,798,741,314,946,685,711,667,684,33.20,82888.07,34.00,63.00,BlackTie
2024-09-25 14:43:55,556,796,743,316,946,683,709,667,685,33.20,82867.74,34.00,63.00,BlackTie
2024-09-25 14:43:56,557,797,740,316,949,682,711,667,682,33.20,82776.18,34.00,63.00,BlackTie
2024-09-25 14:43:56,555,796,742,317,948,684,710,667,684,33.20,82791.28,34.00,63.00,BlackTie
2024-09-25 14:43:57,557,797,740,315,947,683,710,667,683,33.20,82717.13,34.00,63.00,BlackTie
2024-09-25 14:43:57,557,796,740,316,949,683,710,666,684,33.20,82721.30,34.00,63.00,BlackTie
2024-09-25 14:43:58,556,795,742,315,946,685,710,669,686,33.19,82721.09,34.00,63.00,BlackTie
2024-09-25 14:43:58,554,795,742,318,949,685,710,666,686,33.20,82725.13,34.00,63.00,BlackTie
2024-09-25 14:43:59,556,797,742,317,948,684,710,666,684,33.20,82723.55,34.00,63.00,BlackTie
2024-09-25 14:43:59,555,796,743,317,949,684,710,667,685,33.20,82724.78,34.00,63.00,BlackTie
2024-09-25 14:44:00,554,797,743,318,947,686,712,668,686,33.20,82722.86,34.00,63.00,BlackTie
2024-09-25 14:44:00,555,795,743,316,947,685,711,667,685,33.20,82723.57,34.00,63.00,BlackTie
2024-09-25 14:44:01,556,796,741,318,946,684,709,665,683,33.20,82722.69,34.00,63.00,BlackTie
2024-09-25 14:44:01,554,796,741,318,947,684,710,666,685,33.20,82723.72,34.00,63.00,BlackTie
2024-09-25 14:44:02,556,795,743,315,948,685,711,667,685,33.20,82722.86,34.00,63.00,BlackTie
2024-09-25 14:44:02,554,796,741,315,946,684,709,665,684,33.20,82767.68,34.00,63.00,BlackTie
2024-09-25 14:44:03,556,796,742,315,945,684,709,665,684,33.20,83067.04,34.00,63.00,BlackTie
2024-09-25 14:44:03,554,796,741,315,946,685,709,665,684,33.20,83017.33,34.00,63.00,BlackTie
2024-09-25 14:44:04,556,796,742,314,946,683,709,664,682,33.21,82878.35,34.00,63.00,BlackTie
2024-09-25 14:44:04,554,795,741,314,946,685,711,665,684,33.21,82726.33,34.00,63.00,BlackTie
2024-09-25 14:44:05,554,795,741,317,947,682,709,664,684,33.21,82717.65,34.00,63.00,BlackTie
2024-09-25 14:44:06,554,796,740,315,946,684,708,665,684,33.20,82719.72,34.00,63.00,BlackTie
2024-09-25 14:44:06,554,795,741,315,947,684,709,666,684,33.20,82764.72,34.00,63.00,BlackTie
