yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-25 14:43:53,554,795,743,315,946,681,708.0,666,683.0,33.17,82724.71,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:53,556,795,740,316,947,683,708.0,665,682.0,33.18,82777.71,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:54,555,795,740,315,945,682,709.0,667,685.0,33.19,83090.82,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:54,556,796,742,315,946,683,708.0,664,683.0,33.19,82994.90,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:55,556,798,741,314,946,685,711.0,667,684.0,33.20,82888.07,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:55,556,796,743,316,946,683,709.0,667,685.0,33.20,82867.74,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:56,557,797,740,316,949,682,711.0,667,682.0,33.20,82776.18,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:56,555,796,742,317,948,684,710.0,667,684.0,33.20,82791.28,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:57,557,797,740,315,947,683,710.0,667,683.0,33.20,82717.13,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:57,557,796,740,316,949,683,710.0,666,684.0,33.20,82721.30,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:58,556,795,742,315,946,685,710.0,669,686.0,33.19,82721.09,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:58,554,795,742,318,949,685,710.0,666,686.0,33.20,82725.13,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:59,556,797,742,317,948,684,710.0,666,684.0,33.20,82723.55,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:43:59,555,796,743,317,949,684,710.0,667,685.0,33.20,82724.78,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:00,554,797,743,318,947,686,712.0,668,686.0,33.20,82722.86,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:00,555,795,743,316,947,685,711.0,667,685.0,33.20,82723.57,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:01,556,796,741,318,946,684,709.0,665,683.0,33.20,82722.69,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:01,554,796,741,318,947,684,710.0,666,685.0,33.20,82723.72,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:02,556,795,743,315,948,685,711.0,667,685.0,33.20,82722.86,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:02,554,796,741,315,946,684,709.0,665,684.0,33.20,82767.68,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:03,556,796,742,315,945,684,709.0,665,684.0,33.20,83067.04,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:03,554,796,741,315,946,685,709.0,665,684.0,33.20,83017.33,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:04,556,796,742,314,946,683,709.0,664,682.0,33.21,82878.35,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:04,554,795,741,314,946,685,711.0,665,684.0,33.21,82726.33,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:05,554,795,741,317,947,682,709.0,664,684.0,33.21,82717.65,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:06,554,796,740,315,946,684,708.0,665,684.0,33.20,82719.72,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:06,554,795,741,315,947,684,709.0,666,684.0,33.20,82764.72,34.00,63.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:07,554,795,743,315,947,685,711.0,665,684.0,33.19,83012.64,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:07,556,796,740,316,948,685,708.0,663,683.0,33.21,82945.77,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:08,556,797,742,315,947,686,708.0,665,683.0,33.20,83065.63,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:08,554,795,740,314,947,684,710.0,666,684.0,33.20,83112.89,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:09,555,797,743,317,947,684,709.0,666,686.0,33.21,82981.36,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:09,556,796,741,317,946,684,708.0,664,683.0,33.21,82966.09,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:10,555,795,740,315,946,686,709.0,666,684.0,33.21,82930.82,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:10,556,795,741,314,947,684,708.0,665,683.0,33.20,82875.03,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:11,556,797,743,317,946,684,708.0,665,683.0,33.21,82849.00,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:11,554,794,740,315,945,683,711.0,667,684.0,33.21,82848.13,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:12,555,796,742,317,948,683,708.0,666,684.0,33.21,82875.75,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:12,556,797,741,316,947,684,710.0,665,684.0,33.21,82791.14,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:13,555,795,742,315,948,685,709.0,666,681.0,33.21,82716.78,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:13,555,796,741,316,947,685,710.0,667,686.0,33.21,82715.05,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:14,556,796,741,314,946,684,709.0,665,684.0,33.21,82717.49,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:14,554,797,742,315,946,684,709.0,666,684.0,33.20,82723.91,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:15,556,794,740,317,947,685,710.0,663,684.0,33.20,82720.94,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:15,556,795,742,316,947,689,710.0,666,686.0,33.21,82723.57,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:16,555,794,741,316,946,685,711.0,665,682.0,33.21,82724.61,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:16,556,795,740,314,946,687,710.0,664,684.0,33.21,82723.21,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:17,556,795,741,315,947,686,711.0,664,684.0,33.21,82723.57,34.00,64.00,BlackTie2509(20degEnvTemp)
2024-09-25 14:44:17,555,795,742,315,946,687,711.0,665,684.0,33.21,82723.89,34.00,64.00,BlackTie2509(20degEnvTemp)
