yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-23 14:27:30,358,781,743,364,935,671,677,644,661,33.32,85163.53,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:31,357,784,742,363,936,670,677,645,659,33.33,85242.88,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:31,357,781,742,363,935,672,676,643,659,33.34,84593.42,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:32,356,783,740,362,935,672,676,646,659,33.33,84109.55,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:32,359,782,739,364,936,671,677,644,661,33.33,83640.57,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:33,358,783,743,365,935,671,675,645,659,33.34,83555.92,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:33,360,782,740,362,935,671,677,643,660,33.33,83649.05,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:34,357,781,740,365,933,672,676,643,660,33.33,84310.51,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:34,356,782,743,365,936,671,678,644,661,33.34,84544.72,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:35,357,782,744,363,934,671,677,645,660,33.33,84614.97,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:35,357,783,742,362,936,671,676,645,662,33.33,84506.44,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:36,359,783,741,362,935,672,676,645,660,33.34,84377.83,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:36,359,783,744,363,935,670,676,644,662,33.33,84219.97,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:37,357,781,743,364,935,672,677,644,660,33.33,84102.60,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:38,357,783,744,363,934,672,676,644,661,33.33,83963.35,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:38,359,783,552,775,724,670,677,643,661,33.33,83686.60,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:39,550,774,725,356,921,672,676,643,661,33.33,83436.14,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:39,550,776,724,353,921,671,676,642,662,33.33,83373.05,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:40,550,776,724,353,921,672,676,643,661,33.33,83326.82,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:40,549,776,726,356,920,672,676,641,660,33.33,83300.73,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:41,548,775,725,354,920,670,676,641,661,33.33,83258.68,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:41,548,774,723,353,920,671,677,641,662,33.32,83186.21,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:42,550,774,725,352,921,671,675,639,660,33.33,83205.50,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:42,548,777,724,353,918,671,676,640,662,33.33,83770.03,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:43,548,775,725,353,921,671,676,638,660,33.33,84155.25,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:43,547,777,722,355,919,671,677,640,662,33.33,84404.57,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:44,549,776,722,354,919,670,675,639,662,33.33,84522.97,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:44,546,776,722,353,919,671,676,639,661,33.34,84401.14,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:45,546,777,723,356,921,670,675,639,663,33.33,84600.52,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:45,546,776,722,355,920,671,676,640,662,33.34,85083.30,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:46,544,776,723,357,921,670,675,641,662,33.34,85006.08,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:46,544,775,723,355,921,672,675,640,661,33.34,84465.46,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:47,543,772,722,357,922,671,675,640,660,33.34,84618.47,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:47,545,774,723,356,921,670,675,640,662,33.34,84781.94,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:48,545,775,722,355,919,671,677,641,661,33.34,84822.46,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:48,543,774,723,355,921,672,674,641,661,33.34,84777.22,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:49,544,775,723,355,920,671,676,640,661,33.34,84992.50,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:49,542,776,723,356,920,672,675,641,662,33.34,84630.47,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:50,541,774,720,355,921,671,675,641,661,33.34,84619.69,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:50,544,773,724,356,920,672,675,641,661,33.34,84702.82,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:51,540,772,722,354,921,671,675,640,662,33.34,84624.75,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:52,542,772,723,355,920,672,677,641,663,33.35,84790.49,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:52,542,775,722,355,920,672,675,640,660,33.35,84823.20,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:53,539,774,721,355,920,672,676,641,662,33.35,84486.55,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:53,539,773,720,355,920,671,675,639,661,33.35,84320.49,34.00,66.00,Moscato2309(25degEnvTemp)
2024-09-23 14:27:54,539,774,721,356,920,671,675,639,662,33.35,84377.35,34.00,66.00,Moscato2309(25degEnvTemp)
