yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-25 15:11:28,603,796,744,350,942,691,719,691,720,630,677,33.48,83089.94,Sophie2509(20degEnvTemp)
2024-09-25 15:11:29,603,795,745,350,942,691,720,629,677,33.51,82926.24,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:29,602,796,744,352,941,691,718,630,678,33.53,82884.03,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:30,601,797,744,351,941,691,720,630,679,33.53,82928.38,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:30,602,798,745,351,941,691,720,631,679,33.53,82908.72,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:31,602,795,745,349,941,691,720,631,679,33.54,82753.33,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:31,602,796,744,348,941,690,720,631,677,33.54,82734.21,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:32,601,797,745,350,941,690,721,631,679,33.53,82722.38,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:32,603,796,744,349,941,690,720,630,679,33.54,83152.28,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:33,602,796,743,349,941,691,719,632,679,33.54,83407.35,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:33,601,796,743,349,940,691,720,631,678,33.54,83216.44,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:34,601,796,744,349,940,690,720,632,677,33.54,83430.64,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:35,602,795,745,349,940,692,720,633,678,33.54,83441.09,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:35,601,797,743,351,939,691,718,634,679,33.54,83514.10,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:36,602,796,743,348,942,690,720,635,677,33.54,83523.67,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:36,602,795,743,348,942,690,721,637,677,33.55,83572.53,35.00,68.00,Sophie2509(20degEnvTemp)
2024-09-25 15:11:37,604,796,743,348,941,691,719,636,678,33.55,83655.83,35.00,68.00,Sophie2509(20degEnvTemp)
