yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-25 15:24:14,477,779,722,313,946,676,747,683,684,33.65,82999.36,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:14,479,779,722,312,945,676,748,681,683,33.68,83115.07,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:15,479,778,722,312,945,676,747,681,683,33.69,82889.54,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:15,477,777,721,314,944,675,748,682,683,33.70,82795.49,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:16,479,779,724,315,947,675,747,681,682,33.70,82823.66,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:16,477,778,721,313,943,676,747,682,682,33.70,82862.09,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:17,480,778,722,311,944,675,747,681,682,33.70,82735.00,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:17,478,778,722,315,945,677,748,681,682,33.70,82720.57,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:18,478,777,721,311,945,676,749,682,682,33.71,82733.77,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:18,478,778,722,311,945,676,748,682,681,33.71,82733.26,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:19,480,779,724,311,944,675,747,681,683,33.71,82735.35,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:19,479,778,721,314,946,675,748,681,684,33.71,82736.57,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:20,481,778,722,311,944,675,748,680,682,33.70,82803.67,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:20,480,777,721,313,945,675,748,680,682,33.71,82893.75,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:21,479,777,722,314,943,675,747,681,682,33.71,82960.52,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:21,480,779,721,314,945,674,747,682,681,33.71,83066.42,35.00,67.00,TallHorse2509(20degEnvTemp)
2024-09-25 15:24:22,479,777,723,314,944,675,748,679,682,33.71,82860.55,35.00,67.00,TallHorse2509(20degEnvTemp)
