yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-16 15:32:55,747,834,840,356,900,727,679,601,660,36.29,723,679,600,AirPostNamaquaCabSav0916
2024-09-16 15:32:56,747,833,842,353,899,722,679,599,660,36.25,82731.19,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:32:56,748,834,842,354,899,722,679,597,659,36.26,82728.60,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:32:57,747,835,842,353,900,723,679,599,659,36.27,82732.63,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:32:57,747,832,841,356,901,721,680,598,659,36.27,82731.23,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:32:58,746,835,840,354,899,720,678,597,659,36.28,82730.52,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:32:58,746,833,842,353,899,721,679,599,660,36.28,82729.99,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:32:59,747,834,840,355,898,719,680,598,661,36.28,82730.69,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:32:59,747,833,843,353,902,716,681,598,660,36.28,82732.27,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:00,747,835,842,354,901,713,681,599,661,36.28,82731.40,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:00,746,835,841,352,899,706,680,599,661,36.28,82731.41,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:01,747,833,841,353,901,712,682,598,661,36.28,82731.39,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:02,746,833,841,353,899,709,680,599,660,36.28,82731.91,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:02,745,832,841,353,899,711,681,598,660,36.29,82732.44,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:03,750,833,841,353,900,713,682,600,661,36.29,82732.44,38.00,61.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:03,748,832,840,352,900,710,681,599,661,36.28,82732.81,38.00,61.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:04,748,833,841,354,901,715,679,596,657,36.29,82730.89,38.00,61.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:04,750,835,842,352,899,713,678,596,658,36.29,82731.57,38.00,61.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:05,749,833,843,353,902,712,678,597,657,36.28,82732.98,38.00,61.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:05,748,834,841,353,899,711,680,595,659,36.29,82731.57,38.00,61.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:06,750,834,840,353,899,710,680,595,659,36.28,82731.22,38.00,61.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:06,749,833,841,352,898,711,678,595,657,36.28,82732.28,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:07,750,834,842,353,899,711,680,596,659,36.29,82734.02,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:07,749,835,842,354,901,709,679,598,659,36.28,82736.82,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:08,751,835,841,355,898,709,679,597,660,36.28,83107.17,38.00,62.00,AirPostNamaquaCabSav0916
2024-09-16 15:33:08,749,835,842,354,898,707,677,590,658,36.29,83207.75,38.00,62.00,AirPostNamaquaCabSav0916
