yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-17 15:34:51,413,578,550,161,737,490,443,239,344,30.81,82680.90,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:52,412,577,550,161,734,490,444,241,346,30.83,82679.36,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:53,413,577,550,159,734,491,443,239,344,30.85,82677.69,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:53,413,578,553,162,737,489,444,240,344,30.86,82679.25,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:54,411,576,550,159,735,489,443,239,345,30.86,82679.42,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:54,410,576,550,161,736,490,444,239,345,30.86,82681.36,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:55,410,576,549,159,735,490,443,238,345,30.87,82681.00,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:55,413,577,550,160,737,489,442,239,346,30.87,82681.36,32.00,44.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:56,411,576,551,161,734,489,442,239,345,30.87,82682.24,32.00,44.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:56,413,577,550,159,735,491,445,238,344,30.87,82681.36,32.00,44.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:57,412,576,551,160,735,492,443,239,344,30.87,82680.86,32.00,44.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:57,412,577,550,162,734,490,443,240,346,30.88,82680.50,32.00,44.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:58,410,579,550,160,737,489,442,241,344,30.88,82678.96,32.00,44.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:58,412,576,549,159,734,490,443,238,345,30.88,82679.66,32.00,44.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:59,413,579,551,158,735,490,443,239,346,30.88,82677.56,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:34:59,411,576,550,160,735,490,445,238,346,30.87,82682.94,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:35:00,412,579,552,162,735,489,443,240,345,30.88,82680.32,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:35:00,410,578,549,160,736,489,444,241,346,30.88,82681.38,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:35:01,411,577,552,161,736,490,443,240,345,30.88,82682.94,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:35:01,411,576,550,160,735,490,443,240,345,30.88,82680.52,32.00,45.00,CleanAirWithPotsAllClockwise2
2024-09-17 15:35:02,412,577,550,159,734,491,444,239,343,30.88,82679.32,32.00,45.00,CleanAirWithPotsAllClockwise2
