yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-17 15:41:48,300,470,465,134,658,474,362,209,303,31.67,82644.25,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:48,300,471,464,134,659,475,363,212,303,31.71,82642.96,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:49,302,470,464,132,659,475,363,212,304,31.74,82646.99,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:49,301,471,465,132,659,475,363,211,304,31.74,82646.85,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:50,301,471,464,133,659,474,364,214,306,31.75,82669.18,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:50,302,470,466,133,660,474,366,212,306,31.75,82896.25,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:51,300,473,465,135,658,475,366,212,307,31.75,82949.64,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:51,303,471,466,132,660,474,366,212,305,31.77,82919.71,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:52,301,473,465,136,658,474,365,209,306,31.78,82932.91,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:52,302,472,466,135,660,474,366,209,308,31.80,82946.83,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:53,300,473,468,136,660,474,364,207,305,31.81,82964.71,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:53,303,471,466,135,659,473,364,206,308,31.82,82912.89,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:54,300,472,466,133,659,473,363,206,307,31.82,82825.55,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:54,301,471,465,134,660,474,363,205,305,31.83,82739.74,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:55,301,473,464,133,661,473,363,207,306,31.83,82695.71,33.00,36.00,ValveOpenAirTestWithPump
2024-09-17 15:41:55,303,470,464,133,661,473,363,205,307,31.84,82642.52,33.00,36.00,ValveOpenAirTestWithPump
