yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-16 15:15:20,519,607,579,192,766,643,318,210,424,35.76,83023.19,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:20,520,607,577,192,765,640,317,210,425,35.78,83048.19,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:21,519,606,577,192,765,640,315,206,423,35.79,83042.46,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:21,519,606,575,193,765,640,316,207,423,35.80,83022.03,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:22,519,606,575,192,765,640,314,207,423,35.81,82966.02,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:22,519,606,575,193,765,640,316,205,425,35.80,82907.41,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:23,519,605,575,191,766,639,313,204,423,35.80,82881.05,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:24,516,605,573,192,765,639,314,206,424,35.80,82887.86,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:24,516,603,573,193,763,641,313,205,424,35.80,82843.37,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:25,517,601,571,191,763,639,315,206,422,35.79,82832.91,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:25,517,603,572,193,764,640,316,205,422,35.80,82756.30,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:26,516,603,570,192,766,641,317,206,422,35.80,82718.27,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:26,515,601,572,194,763,640,316,208,424,35.79,82855.24,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:27,516,604,570,191,763,641,315,206,423,35.79,82861.85,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:27,515,601,572,194,766,639,315,207,424,35.79,82856.63,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:28,515,601,571,193,765,639,315,209,422,35.80,82897.61,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:28,515,603,570,192,762,641,315,206,423,35.79,82891.88,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:29,516,602,570,191,765,639,315,206,423,35.79,82902.50,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:29,515,602,572,192,763,639,315,208,422,35.79,82901.46,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:30,514,601,571,191,764,638,314,206,423,35.79,82850.16,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:30,515,602,573,192,764,641,315,205,421,35.78,82817.35,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:31,514,602,573,194,764,641,315,206,423,35.79,82825.03,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:31,515,603,572,194,763,640,314,209,421,35.78,82790.13,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:32,514,604,575,194,765,640,317,209,423,35.78,82800.77,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:32,516,604,572,193,765,640,316,207,420,35.78,82705.53,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:33,514,601,572,193,764,640,316,207,422,35.78,82726.78,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:33,514,603,573,191,762,640,316,208,423,35.78,82793.62,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:34,514,602,572,189,762,640,316,208,423,35.77,82815.60,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:34,515,601,572,192,764,639,318,209,421,35.78,82868.11,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:35,515,603,574,193,763,640,316,208,423,35.78,82973.32,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:35,512,601,571,191,762,640,316,209,420,35.77,83022.33,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:36,514,601,571,191,763,639,315,208,422,35.77,82995.30,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:36,513,603,572,191,763,640,314,205,422,35.78,82964.07,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:37,514,601,571,191,762,640,313,207,420,35.77,83012.39,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:38,514,603,571,191,762,638,315,204,421,35.77,82995.82,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:38,512,602,574,191,761,639,313,204,420,35.77,82929.00,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:39,513,601,571,191,762,640,313,202,420,35.76,82876.66,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:39,513,601,573,191,762,640,314,203,419,35.76,82855.20,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:40,511,602,572,192,763,640,314,205,421,35.76,82877.70,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:40,510,602,573,194,762,638,312,203,419,35.76,82870.55,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:41,511,603,574,193,763,638,311,203,420,35.76,82899.69,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:41,512,601,572,191,763,639,312,203,419,35.76,82769.36,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:42,511,601,573,194,763,639,312,204,419,35.76,82673.07,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:42,512,601,573,191,761,640,314,206,419,35.76,82747.55,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:43,510,601,572,191,762,638,313,207,421,35.76,82890.25,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:43,510,602,573,189,761,638,314,208,420,35.75,82890.95,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:44,511,604,574,191,762,640,315,206,418,35.75,82890.59,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:44,510,603,574,193,761,639,313,205,420,35.75,82867.74,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:45,511,603,574,191,763,639,314,206,420,35.75,82843.49,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:45,512,603,574,192,762,639,315,205,420,35.75,82827.10,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:46,509,604,574,194,763,638,315,207,418,35.75,82828.13,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:46,509,604,575,190,762,639,315,207,420,35.75,82824.13,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:47,511,602,573,191,762,637,315,205,420,35.75,82822.91,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:47,510,601,574,192,763,637,314,205,419,35.74,82806.49,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:48,509,600,572,194,762,637,313,208,418,35.74,82856.39,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:49,510,600,574,191,761,639,312,205,418,35.74,82857.08,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:49,510,599,573,191,761,637,315,206,419,35.74,82742.11,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:50,507,601,570,193,760,639,314,206,417,35.74,82861.44,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:50,510,600,569,191,763,637,312,207,418,35.74,82861.45,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:51,508,598,571,190,762,638,314,206,417,35.74,82673.55,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:51,507,599,571,191,761,637,313,209,419,35.74,82740.55,36.00,24.00,airpostTallHorse0916
2024-09-16 15:15:52,508,599,571,192,762,638,315,208,420,35.73,82763.91,36.00,24.00,airpostTallHorse0916
