yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-16 15:07:00,548,868,804,431,948,762,675,667,720,36.19,84887.61,37.00,56.00,TallHorse0916
2024-09-16 15:07:01,548,868,803,433,949,761,675,668,718,36.21,84644.20,37.00,56.00,TallHorse0916
2024-09-16 15:07:01,546,869,804,433,948,762,676,666,719,36.23,84594.99,37.00,56.00,TallHorse0916
2024-09-16 15:07:02,546,867,804,433,948,761,675,668,720,36.23,84441.10,37.00,56.00,TallHorse0916
2024-09-16 15:07:02,545,867,803,433,948,762,675,666,719,36.23,84556.74,37.00,56.00,TallHorse0916
2024-09-16 15:07:03,546,866,803,435,948,763,675,668,721,36.24,84550.29,37.00,56.00,TallHorse0916
2024-09-16 15:07:03,543,867,802,432,949,762,673,666,719,36.24,84431.50,37.00,56.00,TallHorse0916
2024-09-16 15:07:04,544,868,802,435,950,762,675,668,720,36.24,84251.93,37.00,56.00,TallHorse0916
2024-09-16 15:07:04,543,868,801,435,949,763,674,666,721,36.24,84174.73,37.00,56.00,TallHorse0916
2024-09-16 15:07:05,543,868,802,436,950,763,674,665,719,36.24,83968.96,37.00,56.00,TallHorse0916
2024-09-16 15:07:05,542,868,801,435,950,763,674,665,720,36.23,83729.32,37.00,56.00,TallHorse0916
2024-09-16 15:07:06,541,868,801,433,950,763,674,665,720,36.24,83307.22,37.00,56.00,TallHorse0916
2024-09-16 15:07:06,542,868,800,432,948,763,674,664,722,36.23,83135.74,37.00,56.00,TallHorse0916
2024-09-16 15:07:07,539,869,800,435,947,762,674,661,720,36.23,82919.75,37.00,56.00,TallHorse0916
2024-09-16 15:07:07,541,870,801,434,948,761,672,661,721,36.23,82907.71,37.00,56.00,TallHorse0916
2024-09-16 15:07:08,538,869,801,433,949,761,672,661,720,36.23,83075.84,37.00,56.00,TallHorse0916
2024-09-16 15:07:08,540,870,803,436,947,761,673,660,720,36.23,83373.55,37.00,56.00,TallHorse0916
2024-09-16 15:07:09,536,869,801,435,949,763,671,660,720,36.23,83374.95,37.00,56.00,TallHorse0916
2024-09-16 15:07:09,536,867,798,435,948,762,671,660,720,36.23,83235.61,37.00,56.00,TallHorse0916
2024-09-16 15:07:10,536,869,801,434,948,764,672,660,721,36.23,83094.53,37.00,56.00,TallHorse0916
