yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity
2024-09-30 15:23:52,273,739,665,278,953,532,656,659,714,32.97,85080.14,35.00,68.00
2024-09-30 16:24:30,565,817,761,364,930,649,656,590,692,32.96,83787.66,35.00,69.00
2024-09-30 16:24:30,564,817,760,363,929,649,657,589,690,32.96,83724.08,35.00,69.00
2024-09-30 16:24:31,564,816,760,363,927,650,656,590,692,32.96,83724.08,35.00,69.00
2024-10-04 14:36:10,560,785,676,375,873,687,741,756,785,32.18,84413.07,34.00,83.00
2024-09-30 15:23:52,271,738,667,280,953,532,656,659,713,32.97,85144.95,35.00,68.00
2024-09-30 15:23:52,273,738,665,280,951,531,658,658,715,32.97,85068.67,35.00,68.00
2024-09-30 14:01:38,563,778,730,281,944,718,676,593,673,32.67,82394.19,35.00,71.00
2024-09-30 14:01:39,564,779,730,281,945,714,672,592,672,32.67,82379.43,35.00,71.00
2024-09-30 14:01:39,562,779,732,281,945,719,676,594,673,32.67,82379.43,35.00,71.00
2024-09-25 15:24:21,479,777,722,314,943,675,747,681,682,33.71,82960.52,35.00,67.00
2024-09-25 15:24:21,480,779,721,314,945,674,747,682,681,33.71,83066.42,35.00,67.00
2024-09-23 14:19:49,386,784,751,364,934,717,731,694,701,33.71,84174.35,35.00,64.0
2024-09-23 14:19:51,385,786,751,363,933,717,731,693,700,33.71,83363.94,35.00,65.0
2024-09-23 14:19:51,385,784,748,363,934,716,732,691,702,33.7,84759.38,35.00,65.0
2024-09-23 14:20:04,388,786,751,365,934,718,734,697,704,33.73,84206.41,35.00,64.0
2024-10-04 12:27:27,272.0,381.0,339.0,91,668.0,464.0,521.0,303.0,411.0,32.01,83797.66,34.0,51.0
2024-10-04 13:17:30,489,795,739,447,906,760,765,754,789,32.18,84273.00,34.00,78.00
2024-09-30 16:07:12,575,808,762,280,928,657,672,576,644,32.82,83279.88,35.00,64.00
2024-09-30 16:07:12,573,810,761,280,929,659,671,577,646,32.82,83279.88,35.00,64.00
