timestamp,mq3,mq135,MQ8,MQ5,MQ7,mq4,mq6,MQ2,MQ9
2024-09-03 12:10:32,600,425,672,620,184,667,516,497,496
2024-09-03 12:10:34,601,424,672,621,183,669,515,496,497
2024-09-03 12:10:35,602,424,672,620,183,667,516,497,496
2024-09-03 12:10:36,601,425,670,620,183,671,516,498,496
2024-09-03 12:10:37,601,425,670,622,183,669,516,498,496
2024-09-03 12:10:38,601,424,672,619,183,668,516,497,496
2024-09-03 12:10:39,599,424,672,622,184,668,515,496,497
2024-09-03 12:10:40,599,425,671,620,184,667,517,496,496
2024-09-03 12:10:41,600,424,672,620,184,667,516,498,495
2024-09-03 12:10:42,600,426,672,620,183,668,516,498,496
2024-09-03 12:10:43,601,424,671,621,184,668,517,497,495
2024-09-03 12:10:44,601,425,671,621,183,667,515,497,495
2024-09-03 12:10:45,600,426,672,620,183,667,515,497,496
2024-09-03 12:10:46,601,424,671,622,185,668,515,498,494
2024-09-03 12:10:47,599,424,670,622,182,666,516,497,495
2024-09-03 12:10:48,600,425,671,620,184,668,515,498,495
2024-09-03 12:10:49,601,425,671,620,184,667,516,497,496
2024-09-03 12:10:50,600,426,670,620,184,668,516,496,496
2024-09-03 12:10:51,599,424,671,620,184,667,517,496,495
2024-09-03 12:10:52,599,425,671,621,184,666,515,497,496
2024-09-03 12:10:53,599,425,670,620,184,667,515,496,495
2024-09-03 12:10:54,599,425,671,621,185,667,516,496,494
2024-09-03 12:10:55,599,426,670,621,183,666,516,498,495
2024-09-03 12:10:56,599,426,671,620,186,668,517,497,494
2024-09-03 12:10:57,600,425,672,620,183,668,516,498,496
2024-09-03 12:10:58,599,426,671,620,186,668,516,496,495
2024-09-03 12:10:59,599,424,671,621,182,666,515,497,496
2024-09-03 12:11:00,598,424,672,621,184,667,515,496,495
2024-09-03 12:11:01,600,426,671,621,184,668,517,498,496
2024-09-03 12:11:02,599,424,670,619,184,668,516,497,494
2024-09-03 12:11:03,599,426,671,619,183,666,516,497,494
2024-09-03 12:11:04,599,424,670,621,184,666,515,496,494
2024-09-03 12:11:05,599,426,671,619,184,666,516,497,494
2024-09-03 12:11:06,598,425,672,621,183,666,516,496,496
2024-09-03 12:11:07,598,424,670,620,184,666,515,496,495
2024-09-03 12:11:08,599,424,671,620,186,667,516,498,496
2024-09-03 12:11:09,598,425,670,620,186,666,516,497,496
2024-09-03 12:11:10,599,425,671,620,185,667,516,496,495
2024-09-03 12:11:11,600,425,671,619,184,666,516,498,495
2024-09-03 12:11:12,597,424,671,620,185,665,516,496,494
2024-09-03 12:11:13,598,424,672,620,184,667,516,497,495
2024-09-03 12:11:14,598,424,670,619,184,665,515,496,494
2024-09-03 12:11:15,599,426,672,621,185,666,515,495,494
2024-09-03 12:11:16,600,426,672,620,185,667,516,495,495
2024-09-03 12:11:17,599,424,672,619,185,668,516,496,495
2024-09-03 12:11:18,599,424,670,619,185,667,515,496,494
2024-09-03 12:11:19,597,425,672,621,184,667,516,496,494
2024-09-03 12:11:20,599,425,671,621,186,665,515,496,495
2024-09-03 12:11:21,598,425,671,621,184,665,516,498,496
2024-09-03 12:11:22,597,424,670,621,184,667,515,496,494
2024-09-03 12:11:23,598,426,670,620,184,666,515,497,496
2024-09-03 12:11:24,598,425,670,621,184,666,516,497,495
2024-09-03 12:11:25,599,425,670,618,184,666,515,496,494
2024-09-03 12:11:26,598,424,670,618,184,666,515,496,493
2024-09-03 12:11:27,597,426,669,619,185,665,516,498,494
2024-09-03 12:11:28,598,425,671,620,183,667,516,497,495
2024-09-03 12:11:29,597,427,670,619,186,665,514,496,495
2024-09-03 12:11:30,597,425,670,619,184,666,515,497,494
2024-09-03 12:11:31,597,425,670,619,184,665,515,496,495
2024-09-03 12:11:32,598,427,672,619,184,667,516,496,493
2024-09-03 12:11:33,598,426,670,618,185,666,516,495,494
2024-09-03 12:11:34,598,426,671,618,185,666,515,496,493
2024-09-03 12:11:35,597,425,671,621,184,666,515,496,495
2024-09-03 12:11:36,597,427,670,619,186,665,516,495,495
2024-09-03 12:11:37,596,425,670,619,186,665,516,496,494
2024-09-03 12:11:38,597,427,670,621,184,665,515,495,494
2024-09-03 12:11:39,597,427,669,618,186,665,516,496,495
2024-09-03 12:11:40,598,426,671,619,184,665,515,496,493
2024-09-03 12:11:41,597,426,671,620,184,666,515,495,495
2024-09-03 12:11:42,596,424,670,619,185,665,516,496,494
2024-09-03 12:11:43,597,425,669,618,186,664,515,497,494
2024-09-03 12:11:44,598,426,671,620,186,666,516,496,494
2024-09-03 12:11:45,597,427,670,618,185,666,514,496,495
2024-09-03 12:11:46,598,427,671,619,186,666,515,496,494
2024-09-03 12:11:47,596,425,671,619,184,666,516,497,494
2024-09-03 12:11:48,597,424,670,619,184,665,514,497,493
2024-09-03 12:11:49,598,424,671,619,184,665,514,496,494
2024-09-03 12:11:50,597,424,671,618,186,666,516,497,494
2024-09-03 12:11:51,598,425,670,620,185,664,514,495,493
2024-09-03 12:11:52,599,426,671,620,187,665,514,495,493
2024-09-03 12:11:53,597,426,669,618,186,666,516,497,495
2024-09-03 12:11:54,598,427,671,618,184,665,514,497,495
2024-09-03 12:11:55,598,425,669,619,187,664,514,496,495
2024-09-03 12:11:56,596,425,669,620,186,664,516,495,494
2024-09-03 12:11:57,597,426,670,619,185,665,514,496,493
2024-09-03 12:12:51,556,442,666,612,205,640,505,495,482
2024-09-03 12:12:52,557,441,666,612,207,640,505,494,48Sensor_A0
2024-09-03 12:12:53,557,441,665,613,205,639,507,495,482
2024-09-03 12:12:54,557,441,665,613,204,640,505,496,482
2024-09-03 12:12:55,558,441,666,612,206,639,506,495,483
2024-09-03 12:12:56,556,440,665,613,206,640,507,495,483
2024-09-03 12:12:57,557,440,666,613,205,640,507,495,481
2024-09-03 12:12:58,556,442,666,612,207,639,506,496,483
2024-09-03 12:12:59,557,441,666,614,206,640,507,495,483
2024-09-03 12:13:00,557,441,665,614,206,641,505,496,482
2024-09-03 12:13:01,555,441,666,612,205,640,505,496,482
2024-09-03 12:13:02,557,442,665,612,207,640,505,496,482
2024-09-03 12:13:03,555,441,666,555,441,639,506,497,484
2024-09-03 12:13:04,556,441,665,613,205,639,506,497,482
2024-09-03 12:13:05,555,443,667,612,206,641,505,495,482
2024-09-03 12:13:06,555,442,665,612,207,638,506,496,483
2024-09-03 12:13:07,555,443,665,612,206,640,505,495,483
2024-09-03 12:13:08,556,441,666,612,207,639,505,496,483
2024-09-03 12:13:09,556,443,665,612,205,639,505,496,483
2024-09-03 12:13:10,554,443,665,612,206,638,507,495,483
2024-09-03 12:13:11,554,442,666,613,207,640,505,497,481
2024-09-03 12:13:12,556,441,665,613,206,638,505,496,484
2024-09-03 12:13:13,556,441,666,614,206,639,505,497,483
