MQ3,MQ135,MQ8,MQ5,MQ7,mq4,mq6,MQ2,MQ9,Target
600,425,672,620,184,667,516,497,496,airControl
601,424,672,621,183,669,515,496,497,airControl
602,424,672,620,183,667,516,497,496,airControl
601,425,670,620,183,671,516,498,496,airControl
601,425,670,622,183,669,516,498,496,airControl
601,424,672,619,183,668,516,497,496,airControl
599,424,672,622,184,668,515,496,497,airControl
599,425,671,620,184,667,517,496,496,airControl
600,424,672,620,184,667,516,498,496,airControl
600,424,672,620,184,667,516,498,495 ,airControl
600,426,672,620,183,668,516,498,496,airControl
601,424,671,621,184,668,517,497,495,airControl
601,425,671,621,183,667,515,497,495,airControl
600,426,672,620,183,667,515,497,496,airControl
601,424,671,622,185,668,515,498,494,airControl
599,424,670,622,182,666,516,497,495,airControl
600,425,671,620,184,668,515,498,495,airControl
601,425,671,620,184,667,516,497,496,airControl
600,426,670,620,184,668,516,496,496,airControl
599,424,671,620,184,667,517,496,495,airControl
599,425,671,621,184,666,515,497,496,airControl
599,425,670,620,184,667,515,496,495,airControl
599,425,671,621,185,667,516,496,494,airControl
599,426,670,621,183,666,516,498,495,airControl
599,426,671,620,186,668,517,497,494,airControl
600,425,672,620,183,668,516,498,496,airControl
599,426,671,620,186,668,516,496,495,airControl
599,424,671,621,182,666,515,497,496,airControl
598,424,672,621,184,667,515,496,495,airControl
600,426,671,621,184,668,517,498,496,airControl
599,424,670,619,184,668,516,497,494,airControl
599,426,671,619,183,666,516,497,494,airControl
599,424,670,621,184,666,515,496,494,airControl
599,426,671,619,184,666,516,497,494,airControl
598,425,672,621,183,666,516,496,496,airControl
598,424,670,620,184,666,515,496,495,airControl
599,424,671,620,186,667,516,498,496,airControl
598,425,670,620,186,666,516,497,496,airControl
599,425,671,620,185,667,516,496,495,airControl
600,425,671,619,184,666,516,498,495,airControl
597,424,671,620,185,665,516,496,494,airControl
598,424,672,620,184,667,516,497,495,airControl
598,424,670,619,184,665,515,496,494,airControl
599,426,672,621,185,666,515,495,494,airControl
600,426,672,620,185,667,516,495,495,airControl
599,424,672,619,185,668,516,496,495,airControl
599,424,670,619,185,667,515,496,494,airControl
597,425,672,621,184,667,516,496,494,airControl
599,425,671,621,186,665,515,496,495,airControl
598,425,671,621,184,665,516,498,496,airControl
597,424,670,621,184,667,515,496,494,airControl
598,426,670,620,184,666,515,497,496,airControl
598,425,670,621,184,666,516,497,495,airControl
599,425,670,618,184,666,515,496,494,airControl
598,424,670,618,184,666,515,496,493,airControl
597,426,669,619,185,665,516,498,494,airControl
598,425,671,620,183,667,516,497,495,airControl
597,427,670,619,186,665,514,496,495,airControl
597,425,670,619,184,666,515,497,494,airControl
597,425,670,619,184,665,515,496,495,airControl
598,427,672,619,184,667,516,496,493,airControl
598,426,670,618,185,666,516,495,494,airControl
598,426,671,618,185,666,515,496,493,airControl
597,425,671,621,184,666,515,496,495,airControl
597,427,670,619,186,665,516,495,495,airControl
596,425,670,619,186,665,516,496,494,airControl
597,427,670,621,184,665,515,495,494,airControl
597,427,669,618,186,665,516,496,495,airControl
598,426,671,619,184,665,515,496,493,airControl
597,426,671,620,184,666,515,495,495,airControl
596,424,670,619,185,665,516,496,494,airControl
597,425,669,618,186,664,515,497,494,airControl
598,426,671,620,186,666,516,496,494,airControl
597,427,670,618,185,666,514,496,495,airControl
598,427,671,619,186,666,515,496,494,airControl
596,425,671,619,184,666,516,497,494,airControl
597,424,670,619,184,665,514,497,493,airControl
598,424,671,619,184,665,514,496,494,airControl
597,424,671,618,186,666,516,497,494,airControl
598,425,670,620,185,664,514,495,493,airControl
599,426,671,620,187,665,514,495,493,airControl
597,426,669,618,186,666,516,497,495,airControl
598,427,671,618,184,665,514,497,495,airControl
598,425,669,619,187,664,514,496,495,airControl
596,425,669,620,186,664,516,495,494,airControl
597,426,670,619,185,665,514,496,493,airControl
556,442,666,612,205,640,505,495,482,airControl
557,441,666,612,207,640,505,494,48Sensor_A0,airControl
557,441,665,613,205,639,507,495,482,airControl
557,441,665,613,204,640,505,496,482,airControl
558,441,666,612,206,639,506,495,483,airControl
556,440,665,613,206,640,507,495,483,airControl
557,440,666,613,205,640,507,495,481,airControl
556,442,666,612,207,639,506,496,483,airControl
557,441,666,614,206,640,507,495,483,airControl
557,441,665,614,206,641,505,496,482,airControl
555,441,666,612,205,640,505,496,482,airControl
557,442,665,612,207,640,505,496,482,airControl
555,441,666,555,441,639,506,497,484,airControl
556,441,665,613,205,639,506,497,482,airControl
555,443,667,612,206,641,505,495,482,airControl
555,442,665,612,207,638,506,496,483,airControl
555,443,665,612,206,640,505,495,483,airControl
556,441,666,612,207,639,505,496,483,airControl
556,443,665,612,205,639,505,496,483,airControl
554,443,665,612,206,638,507,495,483,airControl
554,442,666,613,207,640,505,497,481,airControl
556,441,665,613,206,638,505,496,484,airControl
556,441,666,614,206,639,505,497,483,airControl
555,441,665,612,207,641,506,495,482,airControl
556,442,665,614,205,641,506,496,483,airControl
554,442,666,613,205,640,506,497,483,airControl
555,442,665,612,208,639,505,497,482,airControl
556,441,667,612,205,639,505,497,483,airControl
554,440,665,613,209,640,505,495,483,airControl
555,443,665,614,206,638,505,495,482,airControl
556,442,665,614,206,640,506,496,482,airControl
554,443,665,614,206,641,506,496,483,airControl
555,443,665,614,205,639,505,495,482,airControl
555,441,667,613,206,639,507,496,482,airControl
555,443,665,614,205,640,507,496,481,airControl
556,442,667,615,207,639,507,495,482,airControl
554,441,666,614,206,640,505,496,482,airControl
556,441,664,614,206,640,507,496,482,airControl
554,442,667,612,208,639,505,496,483,airControl
555,442,666,613,206,639,506,497,482,airControl
554,442,666,614,207,640,505,495,484,airControl
555,441,665,614,207,640,505,497,482,airControl
554,441,667,614,207,639,505,497,482,airControl
555,442,667,613,206,640,505,496,483,airControl
556,443,667,614,206,640,506,495,482,airControl
554,443,666,614,207,640,505,497,481,airControl
555,443,665,613,208,639,506,497,482,airControl
556,443,667,614,208,639,507,496,482,airControl
555,442,665,612,206,640,506,496,482,airControl
556,442,665,614,207,639,505,496,482,airControl
554,442,666,613,208,640,505,495,482,airControl
555,441,666,613,207,640,507,496,481,airControl
556,441,667,614,208,639,507,496,482,airControl
555,442,665,613,206,639,505,495,483,airControl
554,442,667,612,208,639,505,495,483,airControl
553,441,667,612,208,638,505,495,481,airControl
555,443,665,612,207,639,505,495,483,airControl
556,441,665,614,208,639,506,496,483,airControl
555,441,665,612,206,640,506,496,482,airControl
555,441,665,614,207,639,505,495,483,airControl
556,441,664,614,209,638,505,495,482,airControl
555,441,666,614,206,639,505,497,483,airControl
554,442,665,614,209,639,505,495,481,airControl
555,443,666,612,206,639,506,495,481,airControl
553,442,665,614,208,640,507,497,483,airControl
553,443,666,613,208,639,506,495,483,airControl
554,442,666,613,208,639,505,495,482,airControl
554,441,667,612,208,639,505,497,481,airControl
554,442,666,614,207,639,506,496,482,airControl
555,441,667,613,207,639,506,496,482,airControl
553,443,665,615,208,640,506,495,482,airControl
554,441,666,613,207,640,506,495,482,airControl
555,441,665,613,208,640,507,496,482,airControl
554,442,665,615,207,640,507,496,482,airControl
555,441,666,614,209,639,506,496,482,airControl
554,441,665,613,208,638,506,496,482,airControl
553,441,666,614,207,640,506,495,482,airControl
554,441,666,614,207,639,505,496,482,airControl
555,442,665,612,207,638,505,497,481,airControl
553,443,665,614,206,638,507,496,482,airControl
554,442,665,614,209,638,506,497,482,airControl
554,441,666,615,208,638,507,495,483,airControl
555,443,665,614,208,638,505,497,481,airControl
555,442,666,613,208,639,507,497,483,airControl
554,443,666,614,208,640,506,495,482,airControl
553,443,665,613,209,639,507,495,483,airControl
553,444,665,614,208,640,507,496,481,airControl
553,443,667,614,208,639,505,496,481,airControl
553,442,667,615,207,639,506,495,483,airControl
555,441,666,614,208,639,507,496,483,airControl
554,443,665,614,206,640,505,497,482,airControl
554,441,666,615,208,638,505,497,482,airControl
554,441,665,614,208,638,504,496,482,airControl
554,441,667,615,207,640,506,495,483,airControl
553,441,665,613,207,640,505,496,483,airControl
555,443,665,613,207,640,505,497,482,airControl
554,443,666,612,208,640,505,497,481,airControl
554,442,666,613,209,640,505,497,482,airControl
554,443,665,614,208,638,507,495,482,airControl
554,441,665,615,209,639,507,495,481,airControl
553,443,665,613,209,640,505,497,482,airControl
553,443,665,614,208,639,506,497,481,airControl
553,442,665,613,207,639,506,497,482,airControl
553,443,666,614,209,639,505,495,483,airControl
553,443,666,613,209,639,506,497,483,airControl
553,443,666,614,209,638,507,496,481,airControl
554,442,665,613,209,640,507,497,482,airControl
553,442,665,613,207,640,506,496,483,airControl
553,444,665,615,207,639,505,497,481,airControl
553,443,667,613,208,640,505,496,482,airControl
554,442,665,614,208,639,506,497,483,airControl
554,444,667,614,210,638,506,497,482,airControl
553,443,667,615,208,639,505,495,481,airControl
554,441,667,613,210,638,507,496,481,airControl
555,441,667,614,208,639,505,496,482,airControl
554,441,667,613,208,640,506,496,481,airControl
555,444,667,614,208,639,506,497,482,airControl
555,442,666,615,208,638,506,496,481,airControl
553,443,667,615,210,639,506,497,483,airControl
553,443,665,613,210,640,506,497,482,airControl
555,443,666,613,208,639,506,497,483,airControl
554,443,666,614,208,639,505,496,483,airControl
555,443,665,614,209,639,507,495,483,airControl
554,443,667,615,209,638,505,497,481,airControl
554,444,666,613,208,640,506,495,483,airControl
554,443,665,614,210,639,506,495,481,airControl
553,442,666,614,209,638,505,497,482,airControl
554,444,665,615,209,638,507,496,482,airControl
553,442,667,613,210,639,507,497,483,airControl
553,443,666,614,208,640,505,495,482,airControl
553,443,666,614,209,638,506,497,482,airControl
553,442,665,613,208,638,505,495,481,airControl
553,442,667,613,208,640,505,497,481,airControl
555,444,667,615,210,640,506,496,482,airControl
554,442,665,614,208,639,507,497,482,airControl
552,442,665,614,209,638,506,496,482,airControl
555,444,666,614,210,638,505,497,483,airControl
552,444,667,614,208,639,507,497,483,airControl
553,444,665,615,208,639,505,497,482,airControl
552,444,666,614,208,638,505,496,483,airControl
553,444,667,615,209,638,506,497,483,airControl
553,443,667,615,209,638,505,496,481,airControl
553,444,667,614,209,638,505,495,482,airControl
553,443,666,613,208,638,507,495,483,airControl
553,443,665,614,209,639,506,496,482,airControl
553,443,667,615,210,639,506,496,482,airControl
553,442,667,613,210,640,505,497,481,airControl
554,442,666,615,208,640,506,495,482,airControl
554,443,665,615,208,638,505,497,482,airControl
552,442,665,613,208,639,506,496,481,airControl
553,444,667,613,210,640,506,496,481,airControl
552,443,666,614,209,638,505,496,483,airControl
552,443,667,615,211,638,506,495,482,airControl
552,442,666,613,208,637,506,497,483,airControl
553,444,667,615,210,638,505,497,482,airControl
552,443,666,614,208,639,506,496,483,airControl
554,442,666,615,208,638,506,496,481,airControl
553,443,665,613,209,638,506,496,483,airControl
552,444,665,614,210,639,506,497,481,airControl
552,444,665,613,208,639,507,497,482,airControl
553,442,665,616,209,638,506,497,482,airControl
552,444,665,614,208,638,505,495,481,airControl
553,444,665,614,209,639,507,496,481,airControl
552,443,667,615,208,639,505,496,483,airControl
552,443,666,615,208,638,506,496,483,airControl
552,444,666,614,210,639,505,497,481,airControl
553,442,667,613,209,640,505,496,481,airControl
554,444,665,614,208,638,506,496,483,airControl
553,445,666,613,209,639,505,496,483,airControl
553,444,666,615,210,638,505,495,481,airControl
553,443,666,614,209,638,504,496,482,airControl
554,442,666,616,209,639,505,495,482,airControl
552,443,666,614,210,638,505,495,483,airControl
553,443,666,616,208,638,506,496,481,airControl
552,443,665,613,208,639,505,497,482,airControl
552,444,666,614,209,638,506,496,481,airControl
553,444,665,614,209,639,505,496,482,airControl
553,443,665,613,209,637,505,496,482,airControl
552,445,666,614,210,639,505,496,481,airControl
552,442,667,614,208,639,504,496,483,airControl
554,445,667,616,210,638,504,496,481,airControl
552,444,667,613,210,639,505,495,481,airControl
554,445,667,615,210,639,505,495,482,airControl
554,443,665,613,208,638,504,496,481,airControl
554,444,667,616,208,638,506,497,482,airControl
553,443,665,614,210,638,505,496,481,airControl
553,445,665,615,209,638,506,497,481,airControl
554,443,666,616,208,638,507,497,482,airControl
554,445,665,613,209,638,504,496,481,airControl
553,443,666,615,210,638,505,497,483,airControl
553,443,666,615,211,638,506,496,483,airControl
554,443,667,614,211,637,506,496,482,airControl
555,445,667,616,210,639,505,497,481,airControl
554,443,665,614,210,639,504,497,482,airControl
555,443,666,615,208,638,505,496,481,airControl
555,443,666,615,210,639,506,497,483,airControl
