yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-27 09:11:30,360,496,475,148,681,400,436,255,323,32.80,82820.61,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:30,358,496,474,146,682,398,434,252,319,32.82,82819.07,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:30,357,497,474,144,682,400,436,253,323,32.84,82822.24,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:30,359,495,473,145,683,399,435,256,324,32.84,82820.50,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:30,358,498,472,145,683,402,437,258,325,32.85,82822.24,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:31,357,496,474,148,683,403,438,259,326,32.85,82823.99,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:31,359,496,473,147,682,404,442,262,327,32.86,82826.44,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:31,360,497,472,145,681,405,440,262,327,32.86,82824.86,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:31,358,497,473,147,680,403,439,258,324,32.85,82822.42,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:31,358,497,472,148,681,402,438,257,325,32.86,82824.69,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:32,360,498,473,145,681,404,440,261,327,32.86,82824.35,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:32,358,496,473,145,681,404,441,261,329,32.86,82821.91,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:32,358,497,474,149,682,401,439,257,326,32.85,82822.60,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:32,359,495,472,145,683,400,436,255,322,32.86,82825.92,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:32,359,497,472,144,681,401,438,258,325,32.86,82823.15,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:32,360,497,472,147,681,403,437,257,323,32.86,82823.32,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:33,360,497,473,145,681,400,435,257,325,32.86,82824.17,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:33,358,497,473,147,680,403,436,258,326,32.86,82823.15,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:33,359,497,471,145,681,402,437,257,323,32.86,82821.24,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:33,356,498,472,145,682,402,437,258,325,32.86,82821.41,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:33,358,497,471,146,681,402,436,255,321,32.86,82824.02,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:34,356,497,474,148,684,401,435,256,325,32.86,82824.17,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:34,356,496,473,148,684,398,433,254,322,32.87,82824.02,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:34,359,497,472,147,683,402,435,256,322,32.86,82823.32,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:34,356,496,471,144,683,400,435,256,324,32.86,82822.80,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:34,358,498,470,146,683,398,435,254,322,32.86,82822.10,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:34,358,497,471,147,682,399,434,256,323,32.86,82824.19,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:35,359,497,470,144,681,401,435,255,323,32.86,82823.83,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:35,356,497,472,146,681,402,436,257,323,32.86,82822.61,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:35,356,495,470,145,681,404,437,260,328,32.87,82824.02,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:35,356,496,471,147,684,405,439,261,328,32.86,82822.10,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:35,358,498,472,147,681,405,439,260,325,32.87,82822.28,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:36,357,497,473,146,682,403,437,260,326,32.86,82821.57,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:36,356,496,470,145,681,404,438,259,325,32.86,82824.88,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:36,359,498,473,148,683,404,437,259,325,32.86,82822.43,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:36,356,498,470,147,681,403,437,261,326,32.86,82825.23,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:36,359,498,472,146,681,402,436,259,324,32.87,82823.49,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:36,358,497,470,146,681,403,440,263,328,32.87,82821.39,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:37,357,495,473,147,682,403,437,260,326,32.86,82822.62,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:37,359,497,471,146,684,405,439,262,327,32.86,82826.10,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:37,357,498,471,147,683,403,438,262,327,32.86,82824.53,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:37,357,495,472,149,681,405,438,262,329,32.85,82825.23,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:37,358,498,473,148,684,401,435,258,324,32.86,82824.88,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:38,358,497,471,145,682,398,432,256,323,32.86,82823.15,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:38,357,496,470,146,682,403,436,261,327,32.86,82825.23,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:38,357,496,471,144,684,406,439,263,328,32.86,82823.66,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:38,357,498,471,145,682,405,438,262,328,32.86,82825.21,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:38,357,496,469,146,681,404,438,261,327,32.86,82824.00,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:38,357,497,471,148,683,405,439,263,328,32.86,82824.17,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:39,355,496,470,147,682,404,440,264,328,32.86,82824.00,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:39,356,496,469,146,682,406,439,262,328,32.86,82822.96,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:39,358,496,470,146,682,403,439,264,329,32.86,82822.79,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:39,357,497,472,148,683,404,440,262,330,32.86,82822.80,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:39,355,496,472,149,682,406,439,263,327,32.86,82822.80,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:40,355,495,470,145,681,399,436,257,323,32.86,82822.80,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:40,356,494,470,148,682,394,430,252,318,32.86,82822.96,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:40,358,494,472,147,682,401,433,256,322,32.86,82823.66,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:40,356,497,473,147,682,404,436,259,327,32.87,82823.84,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:40,356,497,471,148,682,403,436,260,327,32.87,82821.41,34.00,25.00,NamaquaTest2509(20degEnvTemp)
2024-09-27 09:11:40,358,497,471,147,682,403,438,261,328,32.86,82823.66,34.00,25.00,NamaquaTest2509(20degEnvTemp)
