yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-10-15 10:53:24,440,812,667,326,781,700,746,708,783,36.13,84519.64,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:24,440,815,668,328,783,698,743,706,783,36.13,84611.58,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:24,439,813,666,328,782,700,746,710,784,36.13,84611.58,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:24,439,813,667,326,782,699,745,709,784,36.14,84897.19,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,813,665,326,783,699,746,708,784,36.14,84897.19,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,438,814,667,326,783,699,745,709,783,36.14,84747.66,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,438,813,667,327,783,700,744,709,787,36.14,84747.66,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,438,814,666,327,781,700,745,710,784,36.14,84802.68,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,812,666,327,782,699,745,709,785,36.14,84802.68,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,438,814,665,327,781,700,746,707,784,36.14,84871.53,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,438,813,667,326,782,701,745,709,784,36.14,84871.53,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,438,814,666,326,783,699,744,707,783,36.14,84867.50,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,438,814,665,326,781,700,747,710,785,36.14,84867.50,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,440,813,667,328,781,699,746,710,784,36.14,84796.41,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,815,666,326,782,700,746,707,784,36.14,84796.41,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,438,814,665,325,783,699,745,708,784,36.14,84702.27,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,440,813,667,327,781,700,746,710,784,36.14,84702.27,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,813,668,326,782,700,746,708,785,36.15,84715.91,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,814,666,326,781,701,745,710,785,36.15,84715.91,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,440,813,667,328,781,700,746,708,784,36.15,84719.74,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,814,667,326,782,702,746,708,786,36.15,84719.74,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,814,667,325,783,699,746,709,784,36.15,84635.39,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,814,667,325,783,700,744,710,784,36.15,84635.39,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,441,813,666,327,782,700,746,709,786,36.14,84586.63,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,814,666,328,781,700,746,709,786,36.14,84586.63,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,815,666,326,783,699,745,710,784,36.14,84457.89,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,813,666,327,781,700,744,709,785,36.14,84457.89,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,814,666,328,781,701,744,709,787,36.15,84579.49,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,440,814,667,326,781,699,745,709,786,36.15,84579.49,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,441,813,668,327,782,699,745,709,784,36.15,84740.19,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,814,666,327,782,699,746,711,784,36.15,84740.19,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,815,666,326,782,699,746,711,785,36.15,84751.19,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,813,666,328,782,701,745,710,784,36.15,84751.19,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,814,666,326,783,698,745,707,785,36.15,84834.52,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:25,439,814,665,325,783,701,746,707,785,36.15,84834.52,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,438,814,666,327,781,700,746,708,784,36.15,84819.68,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,439,814,667,328,781,697,743,708,785,36.15,84819.68,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,812,667,325,781,698,745,710,783,36.14,84849.00,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,813,667,325,782,700,744,708,786,36.14,84849.00,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,439,815,668,326,782,699,745,709,784,36.15,84837.32,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,813,668,327,782,699,746,710,783,36.15,84837.32,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,813,668,326,781,700,746,708,784,36.15,84764.13,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,814,667,325,783,700,745,709,786,36.15,84764.13,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,815,668,326,783,700,745,711,784,36.15,84669.62,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,441,813,667,327,781,700,746,709,785,36.15,84669.62,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,814,666,326,783,698,746,708,785,36.15,84570.57,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,441,813,666,326,782,699,746,709,786,36.15,84570.57,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,815,668,327,781,699,746,709,786,36.14,84552.39,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,813,668,325,784,700,746,709,783,36.14,84552.39,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,439,814,666,327,782,700,744,709,784,36.15,84593.10,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,814,667,325,781,698,745,711,786,36.15,84593.10,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,813,667,327,783,699,746,709,785,36.15,84681.15,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,441,814,666,326,782,699,746,710,785,36.15,84681.15,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,815,667,327,782,699,743,710,785,36.15,84669.80,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,441,813,667,327,781,699,746,709,785,36.15,84669.80,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,814,667,326,783,699,745,709,786,36.15,84704.38,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,442,813,668,325,783,699,746,709,786,36.15,84704.38,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,442,814,668,326,782,700,744,711,785,36.15,84717.82,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,815,667,326,784,700,744,709,786,36.15,84717.82,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,442,813,668,327,782,700,746,710,785,36.14,84764.11,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,815,668,326,783,700,746,710,785,36.14,84764.11,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,440,814,666,327,782,700,745,709,786,36.15,84603.07,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,441,815,668,326,782,701,747,711,785,36.15,84603.07,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,441,814,667,328,781,700,744,710,786,36.15,84380.35,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:26,442,813,667,327,782,699,746,711,784,36.15,84380.35,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,441,813,667,326,784,701,747,711,785,36.15,84188.77,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,440,814,666,328,782,700,745,712,784,36.15,84188.77,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,440,815,666,327,782,699,746,712,785,36.15,84263.52,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,440,814,666,328,782,700,746,711,786,36.15,84263.52,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,442,813,668,327,782,701,744,712,784,36.14,84082.39,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,439,813,668,327,782,700,745,711,785,36.14,84082.39,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,442,814,667,326,783,695,743,708,785,36.14,83780.79,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,440,815,666,326,783,699,746,709,786,36.14,83780.79,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,441,814,668,326,782,699,746,709,785,36.15,83560.96,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,440,814,667,325,783,698,746,709,786,36.15,83560.96,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,441,815,668,327,783,698,745,711,786,36.14,83420.71,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,441,814,668,327,782,699,747,708,786,36.14,83420.71,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,440,814,666,326,782,699,746,708,786,36.14,83349.83,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,441,815,666,328,784,698,745,710,784,36.14,83349.83,38.00,86.00,Shir_Shiraz_2021
2024-10-15 10:53:27,440,815,666,326,782,698,746,709,786,36.14,83323.47,38.00,86.00,Shir_Shiraz_2021
