yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-23 14:49:40,557,780,715,377,914,696,723,628,706,33.31,83772.42,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:41,557,779,714,375,914,694,724,630,705,33.34,84110.44,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:42,556,780,714,375,916,695,724,629,704,33.35,83861.02,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:42,557,779,715,377,915,695,724,632,705,33.36,83934.24,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:43,557,778,714,378,914,696,724,630,703,33.36,83983.10,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:43,557,780,713,378,914,693,725,632,704,33.37,83984.86,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:44,558,778,713,375,915,694,724,632,705,33.36,84031.07,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:44,557,780,716,375,915,696,725,633,706,33.37,84014.77,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:45,559,779,716,376,915,694,724,632,705,33.37,84089.88,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:45,557,780,715,377,914,695,725,633,704,33.38,84036.52,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:46,557,779,717,378,915,695,725,634,705,33.38,84174.21,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:46,558,779,716,374,915,695,724,632,704,33.38,84070.94,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:47,560,780,715,376,915,694,725,634,705,33.37,84097.02,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:47,559,778,715,374,915,694,724,633,704,33.38,84059.83,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:48,558,780,714,376,913,695,726,635,705,33.38,84127.46,34.00,69.00,SophieTest2309(25degEnvTemp)
2024-09-23 14:49:48,558,778,716,377,912,694,724,635,704,33.38,84153.75,34.00,69.00,SophieTest2309(25degEnvTemp)
