yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-19 10:18:51,557,574,683,298,490,470,702,489,525,25.25,82512.50,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:52,560,576,684,304,500,472,704,492,523,25.27,82512.27,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:52,565,583,689,305,509,480,708,497,527,25.28,82511.26,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:53,569,589,695,309,518,482,710,500,529,25.29,82512.32,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:53,572,593,698,311,525,487,712,507,530,25.29,82512.85,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:54,577,599,703,314,534,488,715,508,530,25.29,82512.17,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:54,581,602,704,313,541,493,717,510,533,25.30,82511.71,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:55,585,606,709,317,549,500,718,517,535,25.30,82512.38,24.00,48.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:55,588,612,712,319,556,503,720,518,536,25.30,82509.97,24.00,48.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:56,591,618,716,321,564,510,724,524,541,25.30,82511.71,24.00,48.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:56,593,619,721,322,570,509,724,524,539,25.31,82510.33,24.00,48.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:57,599,625,724,326,575,513,725,528,541,25.31,82507.96,24.00,48.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:57,602,628,726,326,584,517,727,528,541,25.31,82512.24,24.00,48.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:58,606,631,729,331,590,522,727,534,545,25.31,82512.25,24.00,48.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:58,608,635,733,334,595,528,729,534,545,25.31,82512.61,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:59,613,640,736,333,602,533,729,537,549,25.31,82512.94,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:18:59,616,644,739,338,607,536,729,542,548,25.31,82511.24,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:00,617,648,741,339,612,539,730,542,550,25.31,82514.32,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:00,619,651,742,338,616,543,731,545,552,25.32,82512.10,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:01,625,653,746,341,624,548,733,548,552,25.32,82512.43,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:01,625,656,751,344,630,554,737,551,557,25.32,82510.39,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:02,629,660,751,346,634,558,737,553,556,25.32,82511.07,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:02,631,665,756,348,640,562,737,554,557,25.32,82510.73,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:03,634,667,756,349,644,567,737,560,560,25.32,82510.58,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:04,637,671,761,350,648,571,737,559,560,25.32,82513.85,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:04,641,673,762,354,653,574,738,562,563,25.32,82512.81,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:05,642,677,765,354,658,578,737,561,561,25.32,82513.85,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:05,643,680,766,356,660,581,739,563,562,25.32,82510.60,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:06,649,681,768,357,668,586,740,566,564,25.33,82513.19,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:06,649,682,771,358,670,591,740,569,568,25.33,82511.82,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:07,652,687,772,357,673,597,741,573,570,25.33,82514.04,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:07,653,689,774,359,677,601,742,574,569,25.33,82510.80,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:08,655,693,778,363,679,605,743,577,572,25.33,82513.37,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:08,659,697,778,363,684,606,741,576,572,25.33,82512.52,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:09,662,701,783,366,688,610,740,576,571,25.34,82512.19,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:09,663,701,783,366,690,613,741,577,571,25.34,82511.32,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:10,664,702,786,368,693,615,739,579,574,25.34,82513.22,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:10,668,706,786,372,696,618,739,579,573,25.34,82510.97,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:11,670,708,788,370,699,623,739,581,575,25.34,82512.89,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:11,674,711,790,375,702,627,740,583,575,25.35,82512.74,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:12,675,715,792,375,706,628,740,585,579,25.34,82513.75,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:12,676,716,795,374,706,632,739,585,580,25.34,82512.53,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:13,679,718,795,377,709,633,737,585,577,25.34,82515.47,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:13,678,719,798,378,712,636,738,586,579,25.35,82510.83,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:14,682,722,798,380,713,641,738,587,578,25.34,82510.15,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:14,683,724,801,381,717,640,736,587,579,25.35,82513.60,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:15,683,727,802,380,717,644,738,590,580,25.35,82513.10,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:15,685,728,803,381,719,648,736,590,582,25.35,82512.24,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:16,688,728,802,380,721,648,737,591,581,25.35,82513.96,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:16,688,730,804,382,723,650,734,590,582,25.35,82511.55,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:17,691,734,807,382,725,653,735,593,585,25.35,82513.78,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:17,691,735,809,384,726,657,734,591,583,25.35,82513.63,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:18,695,737,808,385,728,651,729,587,579,25.36,82513.46,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:18,695,740,810,386,729,654,729,586,579,25.36,82512.45,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:19,698,740,811,387,732,656,728,589,580,25.37,82511.27,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:19,701,743,813,390,735,662,729,589,582,25.36,82509.38,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:20,700,743,815,390,735,661,726,588,580,25.37,82509.72,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:20,701,745,816,389,738,663,727,589,581,25.37,82510.60,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:21,703,746,815,390,739,664,725,589,582,25.37,82508.88,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:21,703,747,817,391,740,668,727,591,583,25.37,82511.28,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:22,705,749,818,392,740,667,725,591,585,25.37,82509.07,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:22,707,752,818,390,742,668,726,591,583,25.38,82514.39,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:23,709,753,819,391,742,671,724,591,584,25.37,82509.23,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:23,708,753,820,391,743,670,722,590,585,25.38,82512.69,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:24,711,757,823,394,745,673,721,590,586,25.38,82511.85,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:24,712,758,823,394,748,675,721,590,584,25.38,82511.47,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:25,712,758,823,395,749,675,721,590,585,25.38,82510.80,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:26,714,759,825,394,750,676,719,590,586,25.38,82510.98,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:26,714,761,824,394,748,679,719,592,587,25.39,82510.32,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:27,717,762,827,397,753,678,717,591,586,25.39,82513.75,24.00,50.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:27,717,763,828,396,753,681,718,591,587,25.39,82509.13,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:28,718,766,829,394,752,680,716,590,586,25.39,82509.66,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:28,719,765,829,398,755,684,715,591,589,25.39,82509.66,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:29,721,769,831,395,754,682,715,592,587,25.39,82511.89,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:29,721,767,829,396,756,684,713,590,588,25.39,82510.35,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:30,723,770,831,399,756,685,711,592,586,25.39,82507.77,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:30,722,769,832,396,757,687,713,591,588,25.39,82507.60,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:31,725,772,833,395,759,685,710,589,587,25.39,82512.08,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:31,724,772,833,397,760,688,708,590,588,25.40,82509.83,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:32,726,773,833,396,759,688,707,589,590,25.40,82511.39,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:32,726,775,836,396,760,687,709,589,588,25.40,82511.92,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:33,728,776,835,395,760,689,708,589,591,25.40,82509.35,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:33,728,777,837,398,761,690,706,589,589,25.40,82509.52,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:34,730,778,836,396,762,690,706,590,589,25.41,82510.41,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:34,730,778,839,395,763,692,703,588,590,25.41,82510.39,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:35,733,780,838,397,763,692,704,588,590,25.41,82508.35,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:35,731,781,840,395,764,692,702,590,590,25.41,82510.92,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:36,732,781,840,399,767,691,701,589,589,25.41,82509.55,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:36,735,783,840,396,766,694,699,587,589,25.41,82511.10,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:37,733,786,840,396,767,695,700,589,590,25.41,82510.94,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:37,735,786,843,399,768,693,696,588,591,25.41,82512.30,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:38,735,786,843,397,767,692,696,587,590,25.41,82509.57,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:38,739,786,842,399,768,690,694,587,590,25.42,82511.29,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:39,738,789,842,397,771,691,696,586,591,25.42,82505.82,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:39,737,788,843,395,770,692,694,587,591,25.42,82509.42,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:40,741,788,846,396,771,695,694,586,591,25.42,82510.80,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:40,739,790,844,396,771,696,693,588,592,25.42,82510.64,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:41,741,791,847,397,773,697,689,588,590,25.42,82509.27,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:42,740,792,847,397,772,696,689,586,593,25.42,82509.07,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:42,740,791,846,395,772,697,690,585,592,25.42,82507.21,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:43,742,791,847,395,774,697,686,586,592,25.43,82509.63,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:43,742,793,844,394,775,699,685,584,591,25.42,82509.44,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:44,742,794,846,394,773,698,686,584,592,25.42,82508.92,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:44,741,795,849,395,774,698,684,585,592,25.42,82509.13,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:45,742,795,847,395,775,701,682,585,592,25.43,82508.60,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:45,741,794,849,393,773,698,681,584,593,25.43,82510.14,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:46,744,797,850,394,776,698,681,585,593,25.43,82508.44,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
2024-09-19 10:19:46,745,797,848,391,774,699,683,583,591,25.43,82507.75,24.00,51.00,WarmingUpClockwiseSensorsFromPlugIn
