yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-25 10:34:52,347,514,459,108,619,371,378,223,294,31.55,82990.49,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:53,347,515,460,112,621,373,376,223,295,31.57,82992.16,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:53,348,513,461,109,621,373,379,224,298,31.59,82992.69,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:54,349,516,459,109,621,375,378,225,296,31.60,82995.33,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:54,346,514,459,112,621,376,380,226,298,31.60,82992.22,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:55,349,516,460,112,620,377,381,227,298,31.60,82994.47,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:55,349,515,459,108,621,374,382,225,299,31.61,82994.28,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:56,346,513,458,112,621,375,380,228,300,31.61,82993.78,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:56,346,514,460,110,621,374,380,226,297,31.61,82996.91,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:57,345,516,460,109,620,374,378,224,295,31.61,82993.44,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:57,348,515,460,111,620,375,380,227,298,31.61,82995.88,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:58,346,515,458,109,621,373,377,224,297,31.61,82993.27,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:58,347,513,458,111,620,375,381,226,300,31.62,82993.61,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:59,347,513,457,109,622,379,382,228,300,31.62,82993.63,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:34:59,348,515,459,113,620,377,382,228,299,31.61,82994.66,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:00,347,515,459,111,619,377,381,227,300,31.61,82996.92,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:00,347,515,458,109,619,377,380,226,298,31.62,82995.53,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:01,346,513,456,108,620,377,381,227,299,31.61,82996.57,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:01,346,514,459,112,621,377,383,227,299,31.62,82995.88,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:02,346,514,458,109,619,379,381,228,300,31.62,82995.73,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:02,345,512,458,111,622,378,379,228,300,31.62,82995.38,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:03,345,512,456,110,621,379,379,227,300,31.62,82994.16,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:03,346,514,457,108,620,376,381,226,297,31.62,82993.80,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:04,345,513,456,111,620,374,374,224,297,31.62,82995.38,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:04,347,513,456,110,621,375,377,224,296,31.62,82993.64,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:05,347,514,458,109,620,370,375,223,292,31.63,82995.22,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:05,344,511,456,109,620,371,372,224,293,31.63,82994.17,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:06,345,511,455,110,620,371,372,225,293,31.62,82994.33,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:06,344,511,455,108,619,372,374,225,294,31.62,82994.13,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:07,346,514,457,109,620,372,374,223,291,31.63,82997.13,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:07,345,513,457,112,621,371,374,224,293,31.63,82994.86,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:08,344,512,456,108,619,372,374,223,292,31.62,82995.38,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:08,343,511,454,108,621,368,371,221,291,31.63,82996.60,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:09,343,511,455,112,622,368,372,221,292,31.63,82998.16,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:09,342,510,454,109,620,370,371,221,291,31.63,82995.41,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:10,344,513,455,108,622,369,372,222,291,31.63,82994.35,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:10,344,511,454,111,620,370,371,223,293,31.63,82996.43,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:11,345,513,455,108,620,369,370,222,291,31.63,82996.26,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:11,343,511,455,112,623,371,373,225,293,31.64,82993.14,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:12,345,512,455,109,620,373,373,226,293,31.63,82994.53,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:12,345,510,455,110,619,374,374,223,296,31.63,82995.24,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:13,342,512,453,112,621,371,373,223,293,31.63,82995.57,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:13,343,512,454,110,620,374,373,222,296,31.63,82994.35,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:14,341,511,456,111,621,372,375,223,296,31.63,82994.53,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:15,343,510,455,111,622,374,373,224,295,31.63,82997.14,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:15,345,513,456,111,622,371,374,224,296,31.63,82994.17,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:16,344,511,456,112,622,371,375,224,294,31.64,82995.94,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:16,341,511,453,107,620,373,373,225,295,31.64,82994.72,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:17,342,511,455,107,623,374,375,225,295,31.64,82995.94,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:17,342,510,456,109,620,374,373,225,295,31.64,82997.67,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:18,343,511,453,109,621,371,373,225,293,31.64,82995.42,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:18,341,509,455,109,621,372,374,226,295,31.63,82996.82,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:19,343,511,455,110,622,372,373,226,296,31.63,82996.97,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:19,341,509,452,108,621,371,374,225,296,31.64,82993.87,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:20,343,510,453,108,620,371,374,225,294,31.64,82996.13,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:20,342,510,453,109,620,373,373,225,296,31.64,82991.96,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:21,341,509,453,108,622,374,374,225,294,31.63,82994.53,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:21,344,511,454,110,622,371,372,226,296,31.63,82993.32,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:22,343,509,454,109,620,372,372,223,295,31.64,82993.86,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:22,342,508,454,107,621,371,373,226,296,31.64,82995.41,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:23,341,508,453,111,621,372,374,225,296,31.64,82993.86,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:23,340,509,454,111,622,372,371,223,293,31.64,82994.22,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:24,343,510,452,108,622,372,373,225,294,31.64,82995.95,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:24,343,511,453,107,623,371,371,223,295,31.64,82993.52,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:25,341,509,453,108,623,372,372,226,296,31.64,82995.24,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:25,342,509,452,108,623,372,371,223,294,31.64,82990.58,33.00,36.00,Warmup2509(20degEnvTemp)
2024-09-25 10:35:26,340,510,451,110,622,371,370,224,294,31.63,82993.33,33.00,36.00,Warmup2509(20degEnvTemp)
