yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-23 12:07:00,318,426,507,140,450,435,509,260,350,32.47,436,508,257,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:00,315,426,506,137,450,435,507,259,349,32.44,83291.65,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:01,317,427,507,138,451,434,509,258,349,32.45,83292.19,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:01,316,428,507,138,453,436,509,257,350,32.46,83291.69,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:02,317,426,508,138,452,436,509,260,349,32.46,83291.71,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:02,318,428,507,137,450,435,509,259,349,32.46,83293.96,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:03,319,426,508,139,450,436,509,260,350,32.46,83290.84,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:03,317,427,507,140,452,436,507,257,349,32.46,83292.24,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:04,319,426,506,141,451,434,509,258,349,32.46,83289.45,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:04,318,428,506,139,450,436,507,259,349,32.46,83290.84,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:05,317,429,506,139,451,435,507,257,350,32.46,83291.71,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:05,316,427,507,139,450,434,508,260,350,32.47,83291.37,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:06,319,428,507,140,451,437,509,258,348,32.46,83291.02,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:06,319,428,507,137,450,437,508,257,347,32.46,83293.61,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:07,318,427,506,137,450,434,508,260,349,32.46,83291.71,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:07,316,426,507,140,450,434,508,260,350,32.47,83291.03,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:08,317,428,508,138,452,434,509,260,350,32.47,83293.61,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:08,318,428,507,137,452,434,507,259,349,32.47,83293.10,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:09,316,426,508,139,450,435,509,257,350,32.47,83289.30,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:09,316,429,506,137,453,436,508,257,349,32.47,83289.81,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:10,316,427,507,138,452,434,508,260,349,32.47,83290.35,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:10,316,429,508,139,450,436,507,257,349,32.47,83290.86,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:11,318,427,506,138,450,436,507,257,348,32.47,83290.33,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:11,318,427,507,138,450,436,506,260,348,32.47,83293.48,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
2024-09-23 12:07:12,316,426,507,140,450,436,509,260,351,32.47,83292.78,34.00,26.00,SensorDataPostWarmUpAllClockwise(20degEnvTemp)
