yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-27 09:17:26,316,480,426,151,674,395,420,265,316,32.68,82821.89,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:27,315,481,425,153,674,394,419,267,316,32.71,82823.68,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:27,317,480,424,153,673,395,419,266,315,32.73,82823.17,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:27,315,478,424,152,673,394,419,266,315,32.73,82822.01,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:27,314,478,426,152,675,394,420,266,316,32.73,82822.69,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:27,315,479,424,152,674,395,419,265,315,32.74,82820.10,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:27,317,479,424,151,675,395,420,267,315,32.74,82820.79,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:27,314,478,424,151,675,395,420,266,317,32.74,82821.85,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:28,316,478,424,151,674,395,422,267,316,32.74,82822.89,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:28,314,479,424,153,674,396,420,266,318,32.74,82819.24,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:28,314,478,425,152,673,396,422,267,316,32.74,82823.42,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:28,315,480,425,152,675,397,421,266,316,32.74,82822.57,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:28,316,478,426,151,675,397,420,267,317,32.74,82821.67,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:28,315,478,426,153,673,397,420,268,317,32.73,82820.46,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:28,315,481,424,152,674,396,421,267,317,32.74,82823.22,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:29,315,480,424,152,673,397,420,268,318,32.73,82822.71,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:29,314,480,424,152,673,397,421,267,317,32.74,82820.11,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:29,314,479,425,151,674,397,422,268,317,32.74,82820.82,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:29,315,480,424,152,673,396,420,269,316,32.74,82821.67,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:29,314,480,423,152,675,396,421,267,318,32.74,82820.65,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:29,316,478,425,150,673,396,422,267,318,32.74,82824.11,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:29,316,480,424,152,675,399,423,266,317,32.74,82823.42,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:30,315,478,424,153,675,397,422,269,318,32.74,82825.33,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:30,315,478,425,151,674,398,421,267,317,32.74,82823.94,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:30,316,478,424,152,674,396,422,267,318,32.74,82822.53,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:30,316,480,424,152,675,398,421,268,320,32.74,82820.64,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:30,317,479,426,150,673,398,422,269,318,32.74,82818.74,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:30,315,480,423,153,675,398,422,269,317,32.74,82821.35,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:31,315,479,426,151,674,399,423,272,320,32.74,82822.55,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:31,314,480,423,152,673,401,424,273,321,32.74,82822.21,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:31,316,479,425,151,675,400,426,273,322,32.74,82824.30,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:31,316,478,425,151,675,402,427,273,323,32.74,82822.38,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:31,316,479,425,153,675,402,425,273,322,32.74,82822.38,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:31,316,479,424,151,676,400,425,273,322,32.74,82821.32,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:31,315,479,426,152,674,401,427,273,323,32.74,82823.78,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:32,316,478,426,152,673,403,427,274,324,32.74,82819.26,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:32,316,480,423,151,674,403,427,276,323,32.74,82819.58,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:32,315,478,424,151,675,402,426,275,324,32.74,82822.21,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:32,315,479,425,152,673,404,428,277,326,32.74,82821.85,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:32,314,479,424,152,675,403,430,276,326,32.74,82823.58,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:32,316,478,425,152,674,403,427,274,323,32.74,82825.16,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:17:32,317,479,426,152,673,402,428,275,325,32.74,82823.75,34.00,26.00,warmuptest(20degEnvTemp)
