yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-10-02 12:07:51,525,747,706,333,884,713,710,652,729,31.82,83437.14,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,706,333,884,708,707,651,729,31.82,83445.13,33.00,77.00,moscato_0210
2024-10-02 12:07:51,524,747,705,333,884,713,710,652,730,31.82,83445.13,33.00,77.00,moscato_0210
2024-10-02 12:07:51,524,747,706,333,884,713,709,651,729,31.83,83441.66,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,747,706,333,884,713,710,651,729,31.83,83441.66,33.00,77.00,moscato_0210
2024-10-02 12:07:51,524,748,706,333,884,713,710,652,729,31.83,83444.27,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,747,706,333,884,713,709,651,729,31.83,83444.27,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,749,707,334,886,714,710,652,731,31.83,83449.49,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,706,333,884,713,709,651,729,31.83,83449.49,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,747,706,333,884,713,710,652,730,31.83,83453.81,33.00,77.00,moscato_0210
2024-10-02 12:07:51,524,748,706,334,884,713,710,652,730,31.83,83453.81,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,706,333,884,713,709,652,730,31.83,83458.33,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,706,333,885,713,710,652,730,31.83,83458.33,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,706,333,885,713,710,652,730,31.84,83461.80,33.00,77.00,moscato_0210
2024-10-02 12:07:51,524,748,706,333,884,713,709,652,729,31.84,83461.80,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,706,333,884,713,710,653,730,31.84,83462.67,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,706,333,884,713,710,653,730,31.84,83462.67,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,707,333,884,713,710,652,730,31.84,83456.08,33.00,77.00,moscato_0210
2024-10-02 12:07:51,526,749,707,333,885,714,710,653,730,31.83,83456.08,33.00,77.00,moscato_0210
2024-10-02 12:07:51,526,749,708,334,885,713,710,653,730,31.83,83462.87,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,707,333,885,713,710,653,730,31.84,83462.87,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,706,334,885,713,710,653,730,31.84,83457.32,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,747,707,334,884,713,710,653,729,31.84,83457.32,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,706,334,884,713,710,653,730,31.84,83447.78,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,707,334,884,713,710,653,730,31.84,83447.07,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,707,334,885,713,710,653,730,31.84,83447.07,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,707,333,885,713,710,653,730,31.84,83379.81,33.00,77.00,moscato_0210
2024-10-02 12:07:51,525,748,707,334,884,714,710,653,730,31.84,83379.81,33.00,77.00,moscato_0210
2024-10-02 12:07:52,525,748,706,333,884,713,710,653,730,31.84,83383.82,33.00,77.00,moscato_0210
2024-10-02 12:07:52,526,749,707,334,886,714,710,653,730,31.84,83383.82,33.00,77.00,moscato_0210
2024-10-02 12:07:52,525,748,706,333,884,713,709,652,730,31.84,83380.17,33.00,77.00,moscato_0210
2024-10-02 12:07:52,525,748,706,333,884,713,709,652,730,31.84,83380.17,33.00,77.00,moscato_0210
2024-10-02 12:07:52,525,748,706,333,884,714,709,652,730,31.84,83382.09,33.00,77.00,moscato_0210
2024-10-02 12:07:52,525,748,706,333,885,713,708,652,730,31.84,83382.09,33.00,77.00,moscato_0210
2024-10-02 12:07:52,525,748,706,333,884,714,709,651,730,31.84,83380.53,33.00,77.00,moscato_0210
2024-10-02 12:07:52,525,748,706,333,884,714,709,651,731,31.84,83380.53,33.00,77.00,moscato_0210
2024-10-02 12:07:52,524,748,706,332,884,707,702,647,727,31.84,83382.26,33.00,77.00,moscato_0210
2024-10-02 12:07:52,525,747,705,333,884,713,708,650,730,31.84,83382.07,33.00,77.00,moscato_0210
2024-10-02 12:07:52,525,747,705,332,885,713,708,651,730,31.84,83382.07,33.00,77.00,moscato_0210
2024-10-02 12:07:52,525,748,705,332,884,713,707,650,729,31.84,83394.54,33.00,77.00,moscato_0210
2024-10-02 12:07:52,525,749,706,333,885,713,708,650,730,31.83,83393.82,33.00,77.00,moscato_0210
2024-10-02 12:07:52,526,749,706,332,885,714,707,650,730,31.83,83393.82,33.00,77.00,moscato_0210
