yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-10-02 11:26:22,697,800,781,499,882,780,758,719,773,31.91,84061.57,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,774,754,718,772,31.91,84061.57,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,499,882,779,758,719,772,31.91,84079.46,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,780,758,719,773,31.91,84079.46,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,499,882,779,757,719,773,31.91,84088.28,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,698,800,781,499,882,780,757,719,772,31.91,84088.28,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,779,758,719,773,31.91,84164.77,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,499,882,780,758,719,773,31.91,84164.77,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,780,758,719,773,31.91,84238.33,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,780,758,719,773,31.91,84238.33,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,881,780,757,719,772,31.91,84273.87,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,881,780,758,719,773,31.91,84273.87,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,698,800,781,499,881,779,758,719,772,31.92,84334.95,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,780,758,719,773,31.92,84334.95,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,499,882,780,758,720,772,31.91,84369.80,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,881,780,758,719,773,31.91,84369.80,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,780,758,720,772,31.92,84479.96,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,780,758,720,773,31.92,84479.96,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,779,757,720,772,31.92,84545.53,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,881,780,758,720,773,31.92,84545.53,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,780,758,720,772,31.92,84611.82,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,780,758,720,772,31.92,84611.82,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,698,800,782,498,881,780,758,721,773,31.92,84565.66,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,881,780,758,720,773,31.92,84565.66,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,698,800,781,498,882,780,758,720,772,31.92,84495.60,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,780,758,721,772,31.92,84495.60,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,698,800,781,498,882,779,757,720,772,31.92,84431.74,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,698,800,782,498,882,780,758,721,772,31.92,84431.74,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,780,758,721,772,31.92,84347.46,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,697,800,781,498,882,780,757,721,772,31.92,84347.46,34.00,74.00,tallhorse_0210
2024-10-02 11:26:22,698,800,781,498,882,780,758,721,773,31.92,84260.90,34.00,74.00,tallhorse_0210
2024-10-02 11:26:23,697,800,781,498,882,780,757,720,772,31.92,84260.90,34.00,74.00,tallhorse_0210
2024-10-02 11:26:23,697,800,781,498,882,780,758,721,772,31.92,84357.19,34.00,74.00,tallhorse_0210
2024-10-02 11:26:23,698,800,781,498,882,780,758,721,773,31.92,84357.19,34.00,74.00,tallhorse_0210
