yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-23 14:00:53,523,786,734,330,917,705,754,727,699,33.67,708,757,731,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:54,523,786,734,329,919,708,757,730,701,33.63,83651.91,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:54,522,787,734,329,920,708,757,729,702,33.64,83534.57,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:55,522,788,733,327,918,708,757,729,701,33.65,83470.77,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:55,520,787,735,330,919,708,759,730,703,33.65,83284.33,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:56,522,787,733,327,919,708,757,729,701,33.65,83242.10,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:56,522,787,733,328,919,708,759,729,702,33.66,83378.10,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:57,520,786,733,328,919,707,757,730,702,33.66,83688.88,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:57,520,789,732,329,917,708,758,729,701,33.66,83745.73,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:58,520,788,734,327,918,709,757,729,704,33.66,83856.01,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:58,520,788,734,330,920,708,760,729,703,33.66,83806.78,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:59,520,786,734,330,918,707,757,730,700,33.66,83941.06,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:59,520,788,735,330,919,707,756,729,700,33.66,83927.32,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:00,520,787,735,329,920,706,756,728,700,33.66,83884.69,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:00,520,788,732,328,920,707,757,729,701,33.67,83963.35,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:01,522,788,733,330,919,707,757,729,701,33.66,83969.10,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:02,520,786,733,329,918,705,756,728,700,33.67,83907.52,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:02,520,786,733,328,919,706,757,728,701,33.67,83882.65,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:03,520,788,733,326,919,706,758,727,700,33.67,83869.94,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:03,521,786,733,327,920,707,758,730,700,33.67,83891.68,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:04,520,788,734,327,920,707,757,729,700,33.67,83899.52,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:04,520,788,735,327,919,708,759,730,700,33.67,83854.82,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:05,522,787,733,327,918,707,756,727,701,33.67,83868.57,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:05,520,787,734,330,918,705,756,728,702,33.67,84085.28,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:06,520,787,732,328,918,705,758,728,701,33.67,84115.55,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:06,521,787,732,327,917,707,757,728,702,33.67,84179.39,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:07,520,786,733,327,918,708,757,728,702,33.68,84131.57,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:07,521,787,735,329,919,706,757,730,702,33.68,84188.99,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:08,522,788,735,329,919,708,758,729,700,33.67,84030.70,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:08,520,787,733,327,919,709,757,729,703,33.68,84050.37,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:09,522,787,733,328,919,707,759,730,700,33.68,84038.71,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:09,521,789,733,328,919,706,757,728,701,33.68,83956.41,34.00,69.00,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:10,521,789,733,328,919,706,757,729,700,33.68,83898.70,34.00,69.00,BlackTie2309(25degEnvTemp)
