yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-23 13:33:24,598,822,773,349,919,744,685,784,715,33.07,85002.34,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:25,598,822,773,351,919,743,684,783,714,33.11,85226.07,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:26,600,823,774,351,918,744,683,782,714,33.12,84863.02,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:26,598,823,775,348,918,745,684,782,714,33.12,84764.30,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:27,599,822,775,349,917,744,683,781,714,33.13,84156.30,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:27,600,822,775,349,917,745,685,783,715,33.12,84182.03,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:28,599,822,773,351,918,745,683,784,714,33.13,84563.71,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:28,601,822,774,348,917,745,684,783,716,33.13,84439.82,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:29,599,821,773,348,917,743,684,782,715,33.13,84516.80,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:29,600,821,774,349,918,744,683,783,715,33.13,84648.39,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:30,598,823,773,350,919,745,683,783,715,33.13,84563.92,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:30,599,823,775,351,918,743,684,782,714,33.13,84733.05,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:31,599,822,773,350,919,743,685,782,715,33.14,84996.44,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:31,598,822,774,348,918,744,683,783,714,33.14,84630.54,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:32,599,822,773,349,918,745,685,782,715,33.14,84653.50,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:32,601,823,774,350,918,744,684,781,714,33.14,84824.88,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:33,601,823,775,349,919,745,685,783,715,33.15,84981.88,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:33,601,823,774,350,917,744,683,783,714,33.15,84963.28,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:34,600,821,772,348,918,744,683,783,714,33.15,85102.17,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:34,599,822,773,350,919,745,685,782,714,33.15,85030.39,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:35,600,822,773,351,918,743,683,782,713,33.15,84974.41,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:35,599,822,774,350,918,744,683,782,714,33.15,84974.07,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:36,598,821,775,350,918,744,683,781,714,33.15,85017.53,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:36,601,823,775,350,918,744,685,783,713,33.15,85108.27,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:37,601,822,773,348,918,744,683,782,713,33.15,85187.58,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:37,599,823,774,348,918,745,683,783,715,33.15,84993.91,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:38,600,822,773,347,918,745,684,781,716,33.15,84945.38,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:38,601,823,774,349,918,744,684,781,714,33.15,84727.07,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:39,600,823,774,348,917,745,685,782,714,33.15,84550.43,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:39,601,823,775,350,919,745,684,781,715,33.15,84555.65,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:40,601,823,776,350,918,745,684,783,714,33.15,84660.50,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:40,601,822,773,350,918,745,683,783,713,33.15,84679.41,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:41,600,822,775,347,919,743,683,781,715,33.16,84786.71,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:41,599,822,775,349,919,746,683,783,714,33.16,85159.80,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:42,600,822,774,350,919,746,684,781,714,33.16,85602.49,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:42,600,822,774,347,918,744,685,782,714,33.15,86243.50,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:43,602,823,775,348,918,744,685,781,715,33.17,86159.21,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:43,601,822,774,350,919,746,683,781,716,33.17,86046.20,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:44,602,823,774,347,917,743,685,782,714,33.17,85631.93,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:44,600,823,775,347,916,744,685,782,715,33.17,85552.32,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:45,600,823,775,348,919,743,683,783,714,33.17,85121.24,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:45,600,822,776,348,920,746,683,783,714,33.16,84424.98,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:46,599,823,774,350,916,744,683,783,714,33.16,83783.67,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:46,602,823,775,350,919,744,683,781,715,33.16,83594.44,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:47,601,823,774,347,916,743,683,783,713,33.16,83630.92,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:47,601,821,774,350,918,743,685,781,715,33.16,84739.60,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:48,601,822,773,349,919,746,684,781,715,33.15,85189.49,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:49,601,821,775,349,917,743,684,782,714,33.16,85344.80,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:49,599,823,775,349,918,743,683,782,715,33.16,85224.46,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:50,602,821,775,348,919,744,685,785,716,33.16,85725.42,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:50,599,824,773,350,917,743,685,781,713,33.16,85503.04,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:51,602,821,775,349,917,745,683,783,715,33.17,85442.03,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:51,602,822,773,349,918,744,683,783,714,33.17,85495.61,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:52,602,822,773,350,919,744,684,782,714,33.17,85396.85,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:52,601,823,775,350,920,743,684,783,714,33.17,84613.47,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:53,600,823,776,349,919,745,683,782,715,33.17,85014.51,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:53,601,821,774,350,917,745,685,783,714,33.17,85225.22,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:54,601,822,774,350,917,745,685,782,715,33.17,84992.08,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:54,600,822,773,349,919,742,684,783,715,33.18,84753.10,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:55,602,823,773,350,917,743,685,784,714,33.18,84801.56,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:55,601,823,775,349,919,744,684,782,714,33.17,84752.36,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:56,601,823,775,348,918,744,684,781,715,33.17,84451.28,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:56,600,822,774,349,918,743,685,784,714,33.17,83997.98,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:57,600,822,774,350,918,744,683,783,715,33.16,84167.24,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:57,600,821,775,350,919,743,683,783,714,33.16,83636.49,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:58,600,823,774,350,917,744,683,783,715,33.16,83458.03,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:58,601,822,774,349,916,745,683,783,713,33.15,83563.66,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:59,600,822,776,350,917,743,684,784,714,33.16,84311.31,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:33:59,600,824,775,348,920,744,683,783,714,33.16,84797.17,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:00,602,821,775,348,919,744,683,782,715,33.16,85119.31,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:00,600,821,774,350,916,745,684,783,715,33.17,85307.28,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:01,600,821,775,349,917,743,684,784,714,33.17,85236.70,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:01,601,822,773,350,919,745,684,783,714,33.17,85308.17,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:02,600,821,775,351,919,743,683,782,715,33.17,85347.64,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:02,601,821,775,349,917,745,684,782,713,33.17,85496.82,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:03,601,823,773,350,919,743,684,785,714,33.16,85248.32,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:03,598,821,774,351,916,744,683,783,714,33.17,84882.89,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:04,601,823,775,350,918,744,682,783,716,33.17,84944.79,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:04,600,822,774,351,916,743,682,782,714,33.17,85581.67,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:05,598,824,773,350,918,744,684,783,713,33.17,85430.57,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:05,600,823,773,349,918,743,682,782,714,33.17,85394.75,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:06,600,823,773,351,917,743,684,784,716,33.17,85322.42,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:06,599,823,775,349,919,745,684,783,715,33.17,85175.15,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:07,598,823,775,349,917,744,682,783,716,33.17,85456.32,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:07,598,821,774,350,917,743,683,785,716,33.17,85455.96,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:08,601,821,775,349,919,744,683,782,714,33.17,85231.83,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:08,601,822,773,350,918,743,682,783,716,33.17,84967.22,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:09,599,823,774,348,919,743,683,783,715,33.17,85222.96,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:09,599,823,776,348,916,745,684,783,714,33.17,85238.81,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:10,600,823,774,348,918,744,683,784,713,33.17,84816.14,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:10,601,823,775,349,919,743,684,782,715,33.17,84734.96,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:11,600,823,773,349,919,744,683,785,716,33.17,84582.16,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:11,600,822,775,350,919,743,684,784,715,33.17,84680.57,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:12,599,823,776,348,917,744,682,784,715,33.17,84846.91,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:12,600,823,773,349,918,742,683,783,716,33.17,84947.04,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:13,601,823,775,349,918,744,682,783,715,33.17,84740.89,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:13,598,821,774,348,918,744,683,784,714,33.17,84557.83,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:14,599,821,776,349,920,745,683,785,715,33.17,84403.99,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:14,599,823,774,349,919,743,684,783,716,33.17,84573.82,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:15,598,823,774,349,917,745,683,782,714,33.17,84528.64,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:16,599,821,775,349,917,743,683,784,716,33.17,84493.16,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:16,598,822,774,349,919,745,683,783,715,33.17,84524.81,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:17,597,823,774,348,918,743,684,784,716,33.17,84310.66,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:17,599,821,775,349,917,745,682,782,716,33.16,84378.24,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:18,600,821,773,350,918,744,683,783,715,33.16,84483.91,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:18,597,822,772,350,919,745,683,784,715,33.16,84229.79,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:19,598,824,772,350,919,744,683,784,714,33.17,84059.32,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:19,599,824,773,350,919,745,683,782,715,33.17,84139.99,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:20,598,822,773,349,917,743,681,783,715,33.16,83739.55,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:20,598,823,774,352,919,744,682,783,716,33.16,83418.09,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:21,596,823,774,350,919,743,681,784,715,33.17,83381.95,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:21,597,822,772,351,919,743,681,783,717,33.17,83365.96,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:22,598,821,773,352,918,746,682,785,716,33.16,83321.13,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:22,597,820,773,350,919,744,681,782,716,33.17,83298.36,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:23,596,822,772,351,918,744,681,783,715,33.17,83510.36,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:23,597,822,772,351,918,746,681,782,715,33.17,85564.47,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:24,596,823,774,352,919,744,683,784,717,33.18,85785.55,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:24,595,821,773,352,916,745,683,785,716,33.18,85880.89,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:25,596,823,773,350,918,744,682,782,714,33.19,85946.50,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:25,597,825,774,350,919,745,683,784,716,33.19,85663.36,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:26,596,822,772,349,918,745,681,782,715,33.19,85566.71,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:26,597,822,773,352,916,744,681,783,716,33.19,85417.14,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:27,597,821,772,351,919,744,683,783,715,33.19,85796.60,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:27,597,821,772,352,918,744,681,784,716,33.19,86196.96,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:28,597,823,772,350,918,744,681,784,715,33.19,85540.60,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:28,597,822,773,351,918,745,681,782,715,33.19,85496.44,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:29,596,821,773,350,918,743,682,784,715,33.19,85282.22,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:29,597,823,775,350,919,743,683,782,715,33.18,84932.53,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:30,595,822,772,349,917,743,682,782,714,33.19,85110.08,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:30,596,821,774,349,917,744,683,782,715,33.19,85223.91,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:32,595,822,775,350,916,742,682,787,717,33.17,85963.39,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:32,597,823,773,348,918,742,681,786,717,33.18,86183.82,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:33,595,821,775,348,918,744,680,785,718,33.18,85872.33,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:33,595,821,773,349,918,742,680,787,716,33.17,85742.71,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:34,597,820,773,349,916,743,681,786,716,33.17,85844.28,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:35,597,823,773,349,918,742,683,785,716,33.17,85650.20,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:35,596,823,774,348,917,743,682,786,717,33.17,85744.61,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:36,595,822,773,348,917,743,681,787,718,33.17,85704.82,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:36,595,823,773,348,917,743,680,785,718,33.16,85529.47,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:37,597,823,775,350,919,743,681,785,716,33.17,85616.96,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:37,595,823,775,350,919,743,681,787,717,33.17,85443.42,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:38,595,821,773,350,918,743,681,786,717,33.17,85353.89,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:38,597,823,775,350,918,743,682,787,717,33.17,85301.19,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:39,595,821,772,348,919,743,681,785,717,33.16,85348.28,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:39,596,822,772,350,919,742,682,786,718,33.16,85553.62,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:40,596,822,773,349,917,742,682,786,717,33.16,85334.36,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:40,597,821,773,349,917,742,682,787,716,33.16,85395.21,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:41,596,823,773,348,918,743,681,786,716,33.16,85560.22,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:41,595,823,774,348,919,743,682,786,716,33.16,85239.45,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:42,595,823,773,347,918,742,680,786,716,33.17,85212.52,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:42,595,821,772,350,919,742,680,786,716,33.16,85966.26,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:43,594,823,775,350,919,742,683,787,716,33.16,86332.91,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:43,594,822,772,348,917,741,682,785,718,33.17,85456.99,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:44,593,822,774,350,919,743,682,785,718,33.17,84371.13,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:44,593,823,772,350,920,741,680,787,718,33.16,83983.69,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:45,595,823,773,349,918,742,682,786,717,33.15,83754.28,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:45,595,822,771,350,919,741,681,788,717,33.15,83679.01,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:46,592,823,773,349,918,743,680,786,716,33.15,83623.07,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:46,594,822,772,348,918,743,682,788,718,33.15,83816.48,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:47,592,823,773,350,919,742,681,786,717,33.14,85116.07,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:47,593,821,772,348,919,741,680,786,717,33.15,85103.22,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:48,595,821,771,352,919,742,681,787,718,33.15,85108.61,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:48,592,822,773,351,918,742,680,788,717,33.15,85203.71,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:49,592,821,772,352,919,742,681,788,716,33.15,85289.99,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:49,592,823,773,351,918,743,682,788,718,33.16,84986.82,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:50,592,821,771,350,919,742,682,787,717,33.16,85102.61,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:51,592,823,772,350,919,742,681,787,717,33.16,85216.82,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:51,594,822,771,351,919,741,680,786,717,33.16,85078.10,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:52,593,822,771,349,918,743,681,788,717,33.16,84846.17,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:52,591,822,771,349,918,743,682,787,717,33.16,84841.29,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:53,592,822,771,349,918,741,681,789,718,33.15,84753.29,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:53,591,823,773,352,919,743,682,786,716,33.15,84978.61,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:55,591,823,773,350,918,743,681,787,717,33.16,85960.89,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:55,591,823,772,351,919,743,681,788,718,33.16,86183.88,34.00,60.00,Sophie2309(25degEnvTemp)
2024-09-23 13:34:56,590,820,770,350,917,743,680,787,718,33.17,86488.13,34.00,60.00,Sophie2309(25degEnvTemp)
