yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-23 14:00:54,523,786,734,329,919.0,708,757,730,701,33.63,83651.91,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:54,522,787,734,329,920.0,708,757,729,702,33.64,83534.57,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:55,522,788,733,327,918.0,708,757,729,701,33.65,83470.77,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:55,520,787,735,330,919.0,708,759,730,703,33.65,83284.33,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:56,522,787,733,327,919.0,708,757,729,701,33.65,83242.1,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:56,522,787,733,328,919.0,708,759,729,702,33.66,83378.1,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:57,520,786,733,328,919.0,707,757,730,702,33.66,83688.88,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:57,520,789,732,329,917.0,708,758,729,701,33.66,83745.73,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:58,520,788,734,327,918.0,709,757,729,704,33.66,83856.01,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:58,520,788,734,330,920.0,708,760,729,703,33.66,83806.78,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:59,520,786,734,330,918.0,707,757,730,700,33.66,83941.06,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:00:59,520,788,735,330,919.0,707,756,729,700,33.66,83927.32,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:00,520,787,735,329,920.0,706,756,728,700,33.66,83884.69,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:00,520,788,732,328,920.0,707,757,729,701,33.67,83963.35,34.0,69.0,BlackTie2309(25degEnvTemp)
2024-09-23 14:01:01,522,788,733,330,919.0,707,757,729,701,33.66,83969.1,34.0,69.0,BlackTie2309(25degEnvTemp)
