yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-27 09:12:37,338,494,450,146,684,381,4Sensor_A0,412,252,312,32.83,82817.85,34.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:37,338,493,450,146,686,379,413,251,309,32.86,82819.83,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:37,337,493,451,148,685,381,414,252,310,32.87,82820.89,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:37,337,495,452,147,684,380,414,251,311,32.88,82820.94,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:37,338,496,452,146,683,378,411,251,311,32.88,82821.44,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:37,336,493,449,144,684,380,414,252,309,32.88,82823.00,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:38,336,494,450,148,685,379,412,250,309,32.89,82822.48,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:38,337,496,451,144,685,379,414,250,310,32.89,82821.28,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:38,335,495,452,148,684,381,413,250,310,32.89,82821.98,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:38,334,493,452,148,685,380,413,251,309,32.89,82819.89,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:38,335,493,451,145,685,381,413,251,312,32.89,82820.78,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:38,338,494,449,144,685,381,415,253,311,32.89,82822.67,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:39,335,493,449,148,684,379,413,251,311,32.90,82823.36,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:39,335,496,451,145,684,381,414,252,310,32.89,82823.72,34.00,25.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:39,337,494,450,146,686,380,413,251,309,32.90,82824.08,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:39,336,494,451,145,683,380,413,250,311,32.89,82823.00,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:39,337,494,449,145,683,381,414,250,311,32.90,82824.75,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:40,337,494,450,146,683,379,412,252,310,32.89,82822.14,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:40,335,494,452,147,684,379,412,252,312,32.89,82822.32,34.00,26.00,warmuptest(20degEnvTemp)
2024-09-27 09:12:40,335,494,449,144,685,381,413,251,309,32.89,82824.08,34.00,26.00,warmuptest(20degEnvTemp)
