yyyy-mm-dd timestamp,MQ6,MQ5,MQ4,MQ7,MQ3,MQ8,MQ2,MQ135,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-30 11:26:07,245,360,335,84,321,326,333,131,227,30.25,82453.31,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:07,243,360,336,83,321,325,333,130,226,30.25,82453.31,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:07,245,361,337,85,320,326,333,131,226,30.25,82452.28,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:07,243,359,336,84,321,327,333,131,228,30.25,82452.28,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:07,245,360,335,84,321,326,335,130,227,30.26,82452.10,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,243,361,334,84,323,327,333,131,228,30.26,82452.10,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,244,361,337,84,322,327,333,131,228,30.26,82451.94,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,245,360,335,85,322,325,334,131,227,30.26,82451.94,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,242,359,334,84,322,328,336,129,226,30.26,82452.30,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,244,360,335,84,321,327,333,130,227,30.26,82452.30,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,242,360,336,84,323,327,333,128,228,30.27,82452.67,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,244,360,335,84,323,325,335,129,228,30.27,82452.67,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,244,359,335,85,323,326,333,129,227,30.27,82452.67,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,245,359,336,82,323,324,333,131,227,30.27,82452.67,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,244,362,334,83,321,327,335,130,229,30.27,82452.13,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,244,360,335,85,323,328,333,131,228,30.27,82452.13,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,245,361,335,84,322,327,334,131,228,30.27,82452.14,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,244,361,336,85,322,326,334,129,226,30.27,82452.14,32.00,23.00,warmuptest3009(20degEnvTemp)
2024-09-30 11:26:08,245,360,335,85,321,326,336,130,228,30.27,82450.93,32.00,23.00,warmuptest3009(20degEnvTemp)
